,ndwi,mndwi,ndci,date
0,,,,2019-01-01
0,-0.20586733300392612,-0.1271373643081174,-0.04302395817471623,2019-01-02
0,,,,2019-01-03
0,,,,2019-01-04
0,,,,2019-01-05
0,,,,2019-01-06
0,-0.11872823046709063,-0.050771235225601626,-0.030321413866793788,2019-01-07
0,,,,2019-01-08
0,,,,2019-01-09
0,,,,2019-01-10
0,,,,2019-01-11
0,-0.09103207665235223,-0.06293470127722965,-0.02182278011931634,2019-01-12
0,,,,2019-01-13
0,,,,2019-01-14
0,,,,2019-01-15
0,,,,2019-01-16
0,-0.1868588561351598,-0.12543148733216808,-0.023640139719058966,2019-01-17
0,,,,2019-01-18
0,,,,2019-01-19
0,,,,2019-01-20
0,,,,2019-01-21
0,-0.20559304094730088,-0.15441528228539658,-0.006433196630989381,2019-01-22
0,,,,2019-01-23
0,,,,2019-01-24
0,,,,2019-01-25
0,,,,2019-01-26
0,-0.2015200543763836,-0.16362896628195583,-0.014523633781298086,2019-01-27
0,,,,2019-01-28
0,,,,2019-01-29
0,,,,2019-01-30
0,,,,2019-01-31
0,-0.14472033299014714,-0.11146452785495801,-0.029748758769202733,2019-02-01
0,,,,2019-02-02
0,,,,2019-02-03
0,,,,2019-02-04
0,,,,2019-02-05
0,-0.07437645638461826,-0.043498390630839,-0.017273169671365288,2019-02-06
0,,,,2019-02-07
0,,,,2019-02-08
0,,,,2019-02-09
0,,,,2019-02-10
0,-0.24752860948138505,-0.16860616809424664,-0.013995537507927874,2019-02-11
0,,,,2019-02-12
0,,,,2019-02-13
0,,,,2019-02-14
0,,,,2019-02-15
0,-0.20714213099115744,-0.1650578405779715,-0.009895404884207287,2019-02-16
0,,,,2019-02-17
0,,,,2019-02-18
0,,,,2019-02-19
0,,,,2019-02-20
0,-0.2445106227911911,-0.18239016895877866,-0.033819580430559826,2019-02-21
0,,,,2019-02-22
0,,,,2019-02-23
0,,,,2019-02-24
0,,,,2019-02-25
0,-0.26168958081096744,-0.1876686174324434,0.010939639674453328,2019-02-26
0,,,,2019-02-27
0,,,,2019-02-28
0,,,,2019-03-01
0,,,,2019-03-02
0,,,,2019-03-03
0,,,,2019-03-04
0,,,,2019-03-05
0,,,,2019-03-06
0,,,,2019-03-07
0,-0.295824543924174,-0.20296940866735017,0.010994458662592377,2019-03-08
0,,,,2019-03-09
0,,,,2019-03-10
0,,,,2019-03-11
0,,,,2019-03-12
0,,,,2019-03-13
0,,,,2019-03-14
0,,,,2019-03-15
0,,,,2019-03-16
0,,,,2019-03-17
0,-0.33378905472022397,-0.2690025093492582,-0.004460430297368044,2019-03-18
0,,,,2019-03-19
0,,,,2019-03-20
0,,,,2019-03-21
0,,,,2019-03-22
0,-0.2633399876423432,-0.1692852960059884,0.007603692770612341,2019-03-23
0,,,,2019-03-24
0,,,,2019-03-25
0,,,,2019-03-26
0,,,,2019-03-27
0,-0.24884956375840792,-0.16262091561893305,0.021503774830036206,2019-03-28
0,,,,2019-03-29
0,,,,2019-03-30
0,,,,2019-03-31
0,,,,2019-04-01
0,-0.22509123838775727,-0.14136694259325647,0.006399385012969319,2019-04-02
0,,,,2019-04-03
0,,,,2019-04-04
0,,,,2019-04-05
0,,,,2019-04-06
0,-0.23578838351109252,-0.1558366145033959,0.026364434588006847,2019-04-07
0,,,,2019-04-08
0,,,,2019-04-09
0,,,,2019-04-10
0,,,,2019-04-11
0,-0.22478355423013957,-0.14526934414362888,0.01339628429758829,2019-04-12
0,,,,2019-04-13
0,,,,2019-04-14
0,,,,2019-04-15
0,,,,2019-04-16
0,0.03298420309038124,0.021223864901998065,-0.051788916723707897,2019-04-17
0,,,,2019-04-18
0,,,,2019-04-19
0,,,,2019-04-20
0,,,,2019-04-21
0,-0.24268070221782487,-0.14777564270662993,-0.005551671108019522,2019-04-22
0,,,,2019-04-23
0,,,,2019-04-24
0,,,,2019-04-25
0,,,,2019-04-26
0,-0.21954476230255351,-0.13415140146520652,0.004456962036046655,2019-04-27
0,,,,2019-04-28
0,,,,2019-04-29
0,,,,2019-04-30
0,,,,2019-05-01
0,-0.24525871183758158,-0.14565193999273,0.013131249120710575,2019-05-02
0,,,,2019-05-03
0,,,,2019-05-04
0,,,,2019-05-05
0,,,,2019-05-06
0,-0.22668275560512718,-0.13787481842512758,0.016236527604387294,2019-05-07
0,,,,2019-05-08
0,,,,2019-05-09
0,,,,2019-05-10
0,,,,2019-05-11
0,-0.2113971015282052,-0.12609841984104345,0.021360528516438118,2019-05-12
0,,,,2019-05-13
0,,,,2019-05-14
0,,,,2019-05-15
0,,,,2019-05-16
0,-0.24162112587038953,-0.1509815519396041,0.017254406542169528,2019-05-17
0,,,,2019-05-18
0,,,,2019-05-19
0,,,,2019-05-20
0,,,,2019-05-21
0,-0.26066869253198327,-0.16989132720718464,-0.0017026588456149564,2019-05-22
0,,,,2019-05-23
0,,,,2019-05-24
0,,,,2019-05-25
0,,,,2019-05-26
0,-0.23800510943537023,-0.14845494573300716,0.007438997713819244,2019-05-27
0,,,,2019-05-28
0,,,,2019-05-29
0,,,,2019-05-30
0,,,,2019-05-31
0,-0.2307509218827921,-0.13956326313751904,0.00736885081791436,2019-06-01
0,,,,2019-06-02
0,,,,2019-06-03
0,,,,2019-06-04
0,,,,2019-06-05
0,-0.2140229112236266,-0.1297984157106184,0.015634219501583398,2019-06-06
0,,,,2019-06-07
0,,,,2019-06-08
0,,,,2019-06-09
0,,,,2019-06-10
0,-0.21400900145531343,-0.13115011720175945,0.009055612574171583,2019-06-11
0,,,,2019-06-12
0,,,,2019-06-13
0,,,,2019-06-14
0,,,,2019-06-15
0,,,,2019-06-16
0,,,,2019-06-17
0,,,,2019-06-18
0,,,,2019-06-19
0,,,,2019-06-20
0,,,,2019-06-21
0,,,,2019-06-22
0,,,,2019-06-23
0,,,,2019-06-24
0,,,,2019-06-25
0,,,,2019-06-26
0,,,,2019-06-27
0,,,,2019-06-28
0,,,,2019-06-29
0,,,,2019-06-30
0,,,,2019-07-01
0,,,,2019-07-02
0,,,,2019-07-03
0,,,,2019-07-04
0,,,,2019-07-05
0,,,,2019-07-06
0,,,,2019-07-07
0,,,,2019-07-08
0,,,,2019-07-09
0,,,,2019-07-10
0,,,,2019-07-11
0,,,,2019-07-12
0,,,,2019-07-13
0,,,,2019-07-14
0,,,,2019-07-15
0,,,,2019-07-16
0,,,,2019-07-17
0,,,,2019-07-18
0,,,,2019-07-19
0,,,,2019-07-20
0,,,,2019-07-21
0,,,,2019-07-22
0,,,,2019-07-23
0,,,,2019-07-24
0,,,,2019-07-25
0,,,,2019-07-26
0,,,,2019-07-27
0,,,,2019-07-28
