,ndwi,mndwi,ndci,date
0,,,,2020-01-01
0,,,,2020-01-02
0,,,,2020-01-03
0,,,,2020-01-04
0,,,,2020-01-05
0,,,,2020-01-06
0,,,,2020-01-07
0,,,,2020-01-08
0,,,,2020-01-09
0,,,,2020-01-10
0,,,,2020-01-11
0,-0.3141569343236525,-0.1589425954527412,-0.029420478618048536,2020-01-12
0,,,,2020-01-13
0,,,,2020-01-14
0,,,,2020-01-15
0,,,,2020-01-16
0,-0.30817317292898,-0.17138325635476587,-0.02098299795139221,2020-01-17
0,,,,2020-01-18
0,,,,2020-01-19
0,,,,2020-01-20
0,,,,2020-01-21
0,,,,2020-01-22
0,,,,2020-01-23
0,,,,2020-01-24
0,,,,2020-01-25
0,,,,2020-01-26
0,,,,2020-01-27
0,,,,2020-01-28
0,,,,2020-01-29
0,,,,2020-01-30
0,,,,2020-01-31
0,-0.2813506385190919,-0.15071923629552,-0.02322080469490195,2020-02-01
0,,,,2020-02-02
0,,,,2020-02-03
0,,,,2020-02-04
0,,,,2020-02-05
0,-0.28075141572493073,-0.18251817847215912,-0.0070177032754234064,2020-02-06
0,,,,2020-02-07
0,,,,2020-02-08
0,,,,2020-02-09
0,,,,2020-02-10
0,-0.2943666442572602,-0.17809938923156546,-0.0188683129418519,2020-02-11
0,,,,2020-02-12
0,,,,2020-02-13
0,,,,2020-02-14
0,,,,2020-02-15
0,-0.3418850160031763,-0.1933155694162197,-0.009574820122403734,2020-02-16
0,,,,2020-02-17
0,,,,2020-02-18
0,,,,2020-02-19
0,,,,2020-02-20
0,-0.2750779445314567,-0.16294184974508313,-0.018409607056781692,2020-02-21
0,,,,2020-02-22
0,,,,2020-02-23
0,,,,2020-02-24
0,,,,2020-02-25
0,-0.3746246968533173,-0.23655127152437117,0.006198608319102096,2020-02-26
0,,,,2020-02-27
0,,,,2020-02-28
0,,,,2020-02-29
0,,,,2020-03-01
0,-0.3512440971998711,-0.20986150935952733,-0.01564675196087928,2020-03-02
0,,,,2020-03-03
0,,,,2020-03-04
0,,,,2020-03-05
0,,,,2020-03-06
0,-0.44477476278236083,-0.2971448092730139,0.020805413459950104,2020-03-07
0,,,,2020-03-08
0,,,,2020-03-09
0,,,,2020-03-10
0,,,,2020-03-11
0,,,,2020-03-12
0,,,,2020-03-13
0,,,,2020-03-14
0,,,,2020-03-15
0,,,,2020-03-16
0,-0.5049618663996682,-0.3517394121203355,0.0034059054029521867,2020-03-17
0,,,,2020-03-18
0,,,,2020-03-19
0,,,,2020-03-20
0,,,,2020-03-21
0,-0.4909031022598663,-0.33420871798557145,0.05729150164332485,2020-03-22
0,,,,2020-03-23
0,,,,2020-03-24
0,,,,2020-03-25
0,,,,2020-03-26
0,,,,2020-03-27
0,,,,2020-03-28
0,,,,2020-03-29
0,,,,2020-03-30
0,,,,2020-03-31
0,-0.3294967926801034,-0.18524557487832952,0.013733896022897535,2020-04-01
0,,,,2020-04-02
0,,,,2020-04-03
0,,,,2020-04-04
0,,,,2020-04-05
0,-0.25974412349106896,-0.12485545812966214,-0.02459002296526796,2020-04-06
0,,,,2020-04-07
0,,,,2020-04-08
0,,,,2020-04-09
0,,,,2020-04-10
0,-0.272100935684863,-0.1464158014156707,0.0022734925065689333,2020-04-11
0,,,,2020-04-12
0,,,,2020-04-13
0,,,,2020-04-14
0,,,,2020-04-15
