,ndwi,mndwi,ndci,date
1,-0.2058673330039261,-0.1271373643081174,-0.0430239581747162,2019-01-02
6,-0.1187282304670906,-0.0507712352256016,-0.0303214138667937,2019-01-07
11,-0.0910320766523522,-0.0629347012772296,-0.0218227801193163,2019-01-12
16,-0.1868588561351598,-0.125431487332168,-0.0236401397190589,2019-01-17
21,-0.2055930409473008,-0.1544152822853965,-0.0064331966309893,2019-01-22
26,-0.2015200543763836,-0.1636289662819558,-0.014523633781298,2019-01-27
31,-0.1447203329901471,-0.111464527854958,-0.0297487587692027,2019-02-01
36,-0.0743764563846182,-0.043498390630839,-0.0172731696713652,2019-02-06
41,-0.247528609481385,-0.1686061680942466,-0.0139955375079278,2019-02-11
46,-0.2071421309911574,-0.1650578405779715,-0.0098954048842072,2019-02-16
51,-0.2445106227911911,-0.1823901689587786,-0.0338195804305598,2019-02-21
56,-0.2616895808109674,-0.1876686174324434,0.0109396396744533,2019-02-26
66,-0.295824543924174,-0.2029694086673501,0.0109944586625923,2019-03-08
76,-0.3337890547202239,-0.2690025093492582,-0.004460430297368,2019-03-18
81,-0.2633399876423432,-0.1692852960059884,0.0076036927706123,2019-03-23
86,-0.2488495637584079,-0.162620915618933,0.0215037748300362,2019-03-28
91,-0.2250912383877572,-0.1413669425932564,0.0063993850129693,2019-04-02
96,-0.2357883835110925,-0.1558366145033959,0.0263644345880068,2019-04-07
101,-0.2247835542301395,-0.1452693441436288,0.0133962842975882,2019-04-12
106,0.0329842030903812,0.021223864901998,-0.0517889167237078,2019-04-17
111,-0.2426807022178248,-0.1477756427066299,-0.0055516711080195,2019-04-22
116,-0.2195447623025535,-0.1341514014652065,0.0044569620360466,2019-04-27
121,-0.2452587118375815,-0.14565193999273,0.0131312491207105,2019-05-02
126,-0.2266827556051271,-0.1378748184251275,0.0162365276043872,2019-05-07
131,-0.2113971015282052,-0.1260984198410434,0.0213605285164381,2019-05-12
136,-0.2416211258703895,-0.1509815519396041,0.0172544065421695,2019-05-17
141,-0.2606686925319832,-0.1698913272071846,-0.0017026588456149,2019-05-22
146,-0.2380051094353702,-0.1484549457330071,0.0074389977138192,2019-05-27
151,-0.2307509218827921,-0.139563263137519,0.0073688508179143,2019-06-01
156,-0.2140229112236266,-0.1297984157106184,0.0156342195015833,2019-06-06
161,-0.2140090014553134,-0.1311501172017594,0.0090556125741715,2019-06-11
276,-0.2646693775140266,-0.1008885989051249,-0.0735971605888782,2019-10-04
281,-0.3044966417390986,-0.1147112736238628,-0.0766486915540016,2019-10-09
286,-0.3207042983280561,-0.1410183587384988,-0.0516237552277962,2019-10-14
326,-0.2400528814252221,-0.0820203135384152,-0.0658322731624872,2019-11-23
331,-0.2206706603391421,-0.0585338213876559,-0.0694579619094799,2019-11-28
336,-0.1790856017851695,-0.0460529958140838,-0.0623771577940705,2019-12-03
341,-0.2407864635979746,-0.0848221753192733,-0.0631097876663384,2019-12-08
346,-0.3012528953537359,-0.135081106185298,-0.0464356182875656,2019-12-13
351,-0.3323056253866252,-0.1500080598984132,-0.0510062365676931,2019-12-18
356,-0.255633101744427,-0.1168308829867733,-0.0332731777344748,2019-12-23
361,-0.3155130884901919,-0.1393188446619081,-0.0397960676584046,2019-12-28
