date,Chlorophyll,Turbidity,Salinty,Dissolved Oxygen,pH
18-Dec-18,0.096767473,-0.009232719,0.101079036,3.494842557,7.838490439
23-Dec-18,0.307403723,-0.148783643,0.203122505,0.072627416,8.051000638
28-Dec-18,0.381000398,-0.201116566,0.155669094,-0.020792443,8.144490208
02-Jan-19,0.371014478,-0.170928335,0.170394839,0.830051677,8.145824685
07-Jan-19,0.348491582,-0.167122129,0.15773341,0.757070292,8.117732765
12-Jan-19,0.150200447,-0.068496715,0.224500557,0.464162451,7.773572212
17-Jan-19,0.151276855,-0.073690942,0.141540153,6.424815878,7.781441335
22-Jan-19,0.344396293,-0.177477472,0.180763152,2.952280529,8.052627461
27-Jan-19,0.256767714,-0.109720289,0.155361563,5.073421526,8.074821128
01-Feb-19,0.268385618,-0.149047092,0.164198172,9.405379111,7.923734707
06-Feb-19,0.227986036,-0.136161743,0.121627497,8.638259554,7.951549319
11-Feb-19,0.095492036,-0.058657024,0.204993305,4.401338794,7.650445333
16-Feb-19,0.217980217,-0.145502876,0.144514423,6.878333374,7.977333852
21-Feb-19,0.224590194,-0.123033293,0.172806356,9.914299784,7.871975832
26-Feb-19,0.425655681,-0.25925618,0.129285219,7.336201422,8.185331169
08-Mar-19,0.312389587,-0.147185921,0.179326222,3.377349757,8.089816128
13-Mar-19,0.384743826,-0.216986371,0.178426787,3.129391199,8.15297202
18-Mar-19,0.432499682,-0.261768553,0.19652743,-5.000225318,8.2577605
23-Mar-19,0.492973807,-0.269349849,0.168111908,1.461646399,8.272495287
28-Mar-19,0.318286611,-0.149499508,0.166807129,1.643997093,8.126761616
02-Apr-19,0.338584673,-0.149076846,0.169609484,0.769964844,8.089910484
07-Apr-19,0.297153084,-0.138792544,0.165439891,-1.771951863,8.097821647
12-Apr-19,0.273940097,-0.082933103,0.146806153,2.115329757,8.073212432
17-Apr-19,0.289772785,-0.119421651,0.149497628,-1.879360575,8.12066066
22-Apr-19,0.228665654,-0.08733162,0.180262095,-3.120153851,7.947568521
27-Apr-19,0.345106804,-0.169223945,0.165214045,-5.188777218,8.161852805
02-May-19,0.291591915,-0.121871456,0.214800208,-1.512016911,8.119504179
07-May-19,0.232024682,-0.063644376,0.138032862,1.405364998,8.092476628
12-May-19,0.210548605,-0.032323598,0.142369872,2.233899147,8.046581865
17-May-19,0.166643365,-0.011343496,0.106360173,2.874609202,8.014801586
22-May-19,0.250411639,-0.051818769,0.143012545,2.180394739,8.050945882
27-May-19,0.309757539,-0.102494595,0.112232957,2.443750837,8.123183849
01-Jun-19,0.269756976,-0.064413026,0.129334237,1.701612082,8.067702994
06-Jun-19,0.251090934,-0.065828644,0.10456245,1.562458204,8.073139486
11-Jun-19,0.21700567,-0.02515292,0.123852571,2.394315021,8.037200286
04-Oct-19,0.211188488,-0.030660033,0.093511322,2.465110521,8.060457319
09-Oct-19,0.143299463,-0.126254432,0.175526911,8.416425128,7.483785639
14-Oct-19,0.260068687,-0.177757014,0.20333517,8.86318902,7.872005801
23-Nov-19,0.25111582,-0.156104891,0.200408765,9.584326256,7.894015838
28-Nov-19,0.213241373,-0.151689411,0.226948752,5.962818889,7.743341874
03-Dec-19,0.207154862,-0.142962696,0.213371997,4.641397988,7.823659048
08-Dec-19,0.176638622,-0.110838269,0.252790452,3.325703526,7.777573412
13-Dec-19,0.2629912,-0.161986778,0.21762832,2.794577411,7.94078968
