,Suspended Matter
2018-06-01,
2018-06-01,0.621141494633836
2018-06-01,
2018-06-01,
2018-06-01,
2018-06-01,
2018-06-01,
2018-06-01,
2018-06-02,
2018-06-02,
2018-06-02,
2018-06-02,
2018-06-02,
2018-06-02,
2018-06-02,0.6399331453865983
2018-06-02,
2018-06-02,
2018-06-02,
2018-06-03,
2018-06-03,
2018-06-03,
2018-06-03,
2018-06-03,
2018-06-03,
2018-06-03,
2018-06-03,
2018-06-03,
2018-06-03,
2018-06-03,
2018-06-03,
2018-06-03,
2018-06-03,
2018-06-03,0.6554900676623926
2018-06-03,0.6256069744418895
2018-06-04,
2018-06-04,
2018-06-04,
2018-06-04,
2018-06-04,
2018-06-04,
2018-06-04,
2018-06-04,
2018-06-04,
2018-06-04,
2018-06-04,
2018-06-04,
2018-06-05,
2018-06-05,
2018-06-05,
2018-06-05,
2018-06-05,
2018-06-05,
2018-06-05,
2018-06-05,
2018-06-05,
2018-06-05,
2018-06-06,
2018-06-06,
2018-06-06,
2018-06-06,
2018-06-06,
2018-06-06,
2018-06-06,
2018-06-06,
2018-06-06,
2018-06-06,
2018-06-06,
2018-06-06,
2018-06-06,
2018-06-06,0.6237193110609318
2018-06-06,0.6351042023613696
2018-06-07,
2018-06-07,
2018-06-07,
2018-06-07,
2018-06-07,
2018-06-07,0.628770364853999
2018-06-07,
2018-06-07,
2018-06-07,
2018-06-07,0.6325232248768308
2018-06-07,
2018-06-08,
2018-06-08,
2018-06-08,
2018-06-08,
2018-06-08,
2018-06-08,
2018-06-08,
2018-06-08,
2018-06-09,
2018-06-09,
2018-06-09,
2018-06-09,
2018-06-09,
2018-06-09,
2018-06-09,
2018-06-09,
2018-06-09,
2018-06-09,
2018-06-09,
2018-06-09,
2018-06-09,0.6260617593417912
2018-06-09,0.6022753473462831
2018-06-10,
2018-06-10,
2018-06-10,
2018-06-10,
2018-06-10,
2018-06-10,
2018-06-10,
2018-06-10,
2018-06-10,0.587460207707628
2018-06-10,
2018-06-10,
2018-06-10,
2018-06-10,
2018-06-10,0.6107130636653602
2018-06-10,
2018-06-10,
