,Suspended Matter
2018-08-01,0.6263494321105161
2018-08-01,
2018-08-01,
2018-08-01,
2018-08-01,
2018-08-01,
2018-08-01,
2018-08-02,
2018-08-02,
2018-08-02,
2018-08-02,
2018-08-02,
2018-08-02,
2018-08-02,
2018-08-02,
2018-08-02,0.5887588210432624
2018-08-02,
2018-08-03,
2018-08-03,
2018-08-03,
2018-08-03,
2018-08-03,
2018-08-03,
2018-08-03,0.5676067795324274
2018-08-03,
2018-08-03,
2018-08-03,
2018-08-03,0.5799240077321528
2018-08-04,
2018-08-04,
2018-08-04,
2018-08-04,
2018-08-04,
2018-08-04,
2018-08-04,
2018-08-04,
2018-08-04,
2018-08-04,
2018-08-04,
2018-08-04,
2018-08-04,
2018-08-04,
2018-08-05,
2018-08-05,
2018-08-05,
2018-08-05,
2018-08-05,
2018-08-05,
2018-08-05,
2018-08-05,
2018-08-05,
2018-08-05,
2018-08-05,
2018-08-06,
2018-08-06,
2018-08-06,
2018-08-06,
2018-08-06,
2018-08-06,
2018-08-06,
2018-08-06,
2018-08-06,
2018-08-06,
2018-08-06,
2018-08-06,
2018-08-06,
2018-08-06,0.6067063333753069
2018-08-06,0.6363652488513575
2018-08-07,
2018-08-07,
2018-08-07,
2018-08-07,
2018-08-07,
2018-08-07,
2018-08-07,0.6379641205547517
2018-08-07,
2018-08-07,
2018-08-07,
2018-08-07,0.6336927521817074
2018-08-07,
2018-08-08,
2018-08-08,
2018-08-08,
2018-08-08,
2018-08-08,
2018-08-08,
2018-08-08,
2018-08-08,
2018-08-08,
2018-08-08,
2018-08-09,
2018-08-09,
2018-08-09,
2018-08-09,
2018-08-09,
2018-08-09,
2018-08-09,
2018-08-09,
2018-08-09,
2018-08-09,
2018-08-09,
2018-08-09,
2018-08-09,
2018-08-10,0.6306932100064577
2018-08-10,
2018-08-10,
2018-08-10,
2018-08-10,
2018-08-10,
2018-08-10,
2018-08-10,0.6378132984163137
2018-08-10,
2018-08-11,
2018-08-11,
2018-08-11,
2018-08-11,
2018-08-11,
2018-08-11,
2018-08-11,0.6414184092240204
2018-08-11,
2018-08-11,
2018-08-11,0.618462785745439
2018-08-11,
2018-08-12,
2018-08-12,
2018-08-12,
2018-08-12,
2018-08-12,
2018-08-12,
2018-08-12,
2018-08-12,
2018-08-12,
2018-08-12,
2018-08-12,
2018-08-12,
2018-08-13,
2018-08-13,
2018-08-13,
2018-08-13,
2018-08-13,
2018-08-13,
2018-08-13,
2018-08-13,
2018-08-13,
2018-08-13,
2018-08-13,
2018-08-13,
2018-08-13,
2018-08-13,
2018-08-14,
2018-08-14,
2018-08-14,
2018-08-14,
2018-08-14,
2018-08-14,
2018-08-14,
2018-08-14,
2018-08-14,
2018-08-14,0.5474672370054837
2018-08-14,
2018-08-14,
2018-08-14,
2018-08-14,0.6462622978811943
2018-08-14,
2018-08-15,
2018-08-15,
2018-08-15,
2018-08-15,
2018-08-15,
2018-08-15,
2018-08-15,
2018-08-15,0.588342942805611
2018-08-15,
2018-08-15,0.5654066081893829
2018-08-15,
2018-08-15,
2018-08-15,
