,Suspended Matter
2019-04-16,
2019-04-16,
2019-04-16,
2019-04-16,
2019-04-16,
2019-04-16,
2019-04-16,
2019-04-16,
2019-04-16,
2019-04-16,
2019-04-16,
2019-04-16,
2019-04-16,0.6412975965198137
2019-04-16,0.6256237201691651
2019-04-16,
2019-04-17,
2019-04-17,
2019-04-17,
2019-04-17,
2019-04-17,
2019-04-17,
2019-04-17,
2019-04-17,
2019-04-17,
2019-04-17,
2019-04-17,0.6164940308598502
2019-04-17,
2019-04-17,
2019-04-17,
2019-04-17,
2019-04-18,
2019-04-18,
2019-04-18,
2019-04-18,
2019-04-18,
2019-04-18,
2019-04-18,
2019-04-18,
2019-04-18,
2019-04-18,
2019-04-18,
2019-04-18,
2019-04-18,
2019-04-18,
2019-04-18,
2019-04-19,
2019-04-19,
2019-04-19,
2019-04-19,
2019-04-19,
2019-04-19,
2019-04-19,
2019-04-19,
2019-04-19,
2019-04-19,
2019-04-19,
2019-04-19,
2019-04-19,
2019-04-19,
2019-04-19,
2019-04-19,0.6705610843634836
2019-04-20,
2019-04-20,
2019-04-20,
2019-04-20,
2019-04-20,
2019-04-20,
2019-04-20,
2019-04-20,
2019-04-20,
2019-04-20,
2019-04-20,0.6613657548799592
2019-04-20,
2019-04-20,
2019-04-20,
2019-04-20,
2019-04-21,
2019-04-21,
2019-04-21,
2019-04-21,
2019-04-21,
2019-04-21,
2019-04-21,
2019-04-21,
2019-04-21,
2019-04-21,
2019-04-21,0.6521941148930415
2019-04-21,
2019-04-21,
2019-04-21,
2019-04-21,
2019-04-22,
2019-04-22,
2019-04-22,
2019-04-22,
2019-04-22,
2019-04-22,
2019-04-22,
2019-04-22,
2019-04-22,
2019-04-22,
2019-04-22,
2019-04-22,
2019-04-22,0.638265054334155
2019-04-22,
2019-04-22,
