,Suspended Matter
2018-08-16,
2018-08-16,
2018-08-16,
2018-08-16,
2018-08-16,
2018-08-16,
2018-08-16,
2018-08-16,
2018-08-16,
2018-08-16,
2018-08-16,
2018-08-16,
2018-08-16,0.6471344084688586
2018-08-17,
2018-08-17,
2018-08-17,
2018-08-17,
2018-08-17,
2018-08-17,
2018-08-17,
2018-08-17,
2018-08-17,
2018-08-17,
2018-08-17,
2018-08-17,
2018-08-18,0.6411049955032578
2018-08-18,
2018-08-18,0.6102869881671122
2018-08-18,
2018-08-18,
2018-08-18,
2018-08-18,
2018-08-18,
2018-08-18,
2018-08-18,
2018-08-18,
2018-08-18,
2018-08-18,
2018-08-19,
2018-08-19,
2018-08-19,
2018-08-19,
2018-08-19,
2018-08-19,
2018-08-19,
2018-08-19,0.6267474063341535
2018-08-19,
2018-08-19,
2018-08-19,
2018-08-19,0.6449191409517848
2018-08-19,
2018-08-19,
2018-08-20,
2018-08-20,
2018-08-20,
2018-08-20,
2018-08-20,
2018-08-20,
2018-08-20,
2018-08-20,
2018-08-20,
2018-08-20,
2018-08-20,
2018-08-20,
2018-08-20,
2018-08-20,
2018-08-21,
2018-08-21,
2018-08-21,
2018-08-21,
2018-08-21,
2018-08-21,
2018-08-21,
2018-08-21,
2018-08-21,
2018-08-21,
2018-08-21,
2018-08-21,
2018-08-21,
2018-08-22,0.6232403671975201
2018-08-22,
2018-08-22,
2018-08-22,
2018-08-22,
2018-08-22,
2018-08-22,
2018-08-22,
2018-08-22,
2018-08-22,
2018-08-22,
2018-08-22,
2018-08-22,
2018-08-22,0.6295539520404057
2018-08-23,
2018-08-23,
2018-08-23,
2018-08-23,
2018-08-23,
2018-08-23,
2018-08-23,
2018-08-23,
2018-08-23,
2018-08-23,0.6339059888975566
2018-08-23,
2018-08-23,
2018-08-23,
2018-08-23,
2018-08-23,0.6279700179145554
2018-08-23,
2018-08-24,
2018-08-24,
2018-08-24,
2018-08-24,
2018-08-24,
2018-08-24,
2018-08-24,
2018-08-24,
2018-08-24,
2018-08-24,
2018-08-24,
2018-08-24,
2018-08-24,
2018-08-24,
2018-08-24,
2018-08-25,
2018-08-25,
2018-08-25,
2018-08-25,
2018-08-25,
2018-08-25,
2018-08-25,
2018-08-25,
2018-08-25,
2018-08-25,
2018-08-25,
2018-08-25,
2018-08-25,
2018-08-25,
2018-08-26,
2018-08-26,
2018-08-26,
2018-08-26,
2018-08-26,
2018-08-26,
2018-08-26,
2018-08-26,
2018-08-26,
2018-08-26,
2018-08-26,0.6266805660805185
2018-08-26,
2018-08-26,
2018-08-26,
2018-08-26,
2018-08-26,0.6362045868416206
2018-08-27,
2018-08-27,
2018-08-27,
2018-08-27,
2018-08-27,
2018-08-27,
2018-08-27,
2018-08-27,
2018-08-27,
2018-08-27,
2018-08-27,
2018-08-27,
2018-08-27,
2018-08-27,
2018-08-27,0.6301223060145165
2018-08-27,0.6147243238414591
2018-08-28,
2018-08-28,
2018-08-28,
2018-08-28,
2018-08-28,
2018-08-28,
2018-08-28,
2018-08-28,
2018-08-28,
2018-08-28,
2018-08-28,
2018-08-28,
2018-08-29,0.6266309410060158
2018-08-29,0.6352968100794976
2018-08-29,
2018-08-29,0.6351711792313123
2018-08-30,
2018-08-30,0.6318646653856175
