,Suspended Matter
2018-04-17,
2018-04-17,
2018-04-17,
2018-04-17,
2018-04-17,0.6254850683119704
2018-04-17,
2018-04-17,
2018-04-17,
2018-04-17,
2018-04-17,
2018-04-17,
2018-04-17,
2018-04-17,
2018-04-17,
2018-04-17,
2018-04-18,
2018-04-18,
2018-04-18,
2018-04-18,
2018-04-18,
2018-04-18,
2018-04-18,
2018-04-18,
2018-04-18,
2018-04-18,
2018-04-18,
2018-04-18,
2018-04-18,
2018-04-18,
2018-04-19,
2018-04-19,
2018-04-19,
2018-04-19,
2018-04-19,
2018-04-19,
2018-04-19,
2018-04-19,
2018-04-19,
2018-04-19,
2018-04-19,
2018-04-19,
2018-04-19,
2018-04-19,
2018-04-19,
2018-04-20,
2018-04-20,
2018-04-20,
2018-04-20,
2018-04-20,0.6658664851798949
2018-04-20,
2018-04-20,
2018-04-20,
2018-04-20,
2018-04-20,
2018-04-20,
2018-04-20,
2018-04-20,
2018-04-20,
2018-04-20,
2018-04-21,
2018-04-21,
2018-04-21,
2018-04-21,
2018-04-21,0.6392511359646047
2018-04-21,
2018-04-21,
2018-04-21,
2018-04-21,
2018-04-21,
2018-04-21,
2018-04-21,
2018-04-21,
2018-04-21,
2018-04-21,
