,Suspended Matter
2018-05-21,
2018-05-21,
2018-05-21,0.5984481175226137
2018-05-21,
2018-05-21,
2018-05-21,
2018-05-21,
2018-05-21,
2018-05-21,
2018-05-21,
2018-05-21,
2018-05-21,
2018-05-21,
2018-05-21,
2018-05-21,
2018-05-21,
2018-05-21,
2018-05-21,
2018-05-21,0.6610997802668431
2018-05-21,
2018-05-21,
2018-05-21,
2018-05-21,
2018-05-21,
2018-05-21,
2018-05-21,
2018-05-21,
2018-05-21,
2018-05-22,
2018-05-22,
2018-05-22,
2018-05-22,
2018-05-22,
2018-05-22,
2018-05-22,
2018-05-22,
2018-05-22,
2018-05-22,
2018-05-22,
2018-05-22,
2018-05-22,
2018-05-22,
2018-05-22,
2018-05-22,0.6304883469425364
2018-05-22,
2018-05-22,
2018-05-22,
2018-05-22,
2018-05-22,
2018-05-22,
2018-05-22,
2018-05-22,
2018-05-22,
2018-05-23,
2018-05-23,
2018-05-23,
2018-05-23,
2018-05-23,
2018-05-23,
2018-05-23,
2018-05-23,
2018-05-23,
2018-05-23,
2018-05-23,
2018-05-23,
2018-05-23,
2018-05-23,
2018-05-23,
2018-05-23,
2018-05-23,
2018-05-23,
2018-05-23,
2018-05-23,
2018-05-23,
2018-05-23,
2018-05-23,
2018-05-23,
2018-05-24,
2018-05-24,
2018-05-24,
2018-05-24,
2018-05-24,
2018-05-24,
2018-05-24,
2018-05-24,
2018-05-24,
2018-05-24,
2018-05-24,
2018-05-24,
2018-05-24,
2018-05-24,
2018-05-24,
2018-05-24,
2018-05-24,
2018-05-24,
2018-05-24,
2018-05-24,
2018-05-24,
2018-05-24,
2018-05-24,
2018-05-24,
2018-05-24,
2018-05-24,
2018-05-24,
2018-05-24,
2018-05-25,
2018-05-25,
2018-05-25,
2018-05-25,
2018-05-25,
2018-05-25,0.6505230411629108
2018-05-25,
2018-05-25,
2018-05-25,
2018-05-25,
2018-05-25,
2018-05-25,
2018-05-25,
2018-05-25,
2018-05-25,
2018-05-25,
2018-05-25,
2018-05-25,
2018-05-25,
2018-05-25,0.6394902328073728
2018-05-25,
2018-05-25,
2018-05-25,
2018-05-25,
2018-05-25,
2018-05-25,
