,Suspended Matter
2018-07-01,
2018-07-01,
2018-07-01,
2018-07-01,
2018-07-01,
2018-07-01,
2018-07-01,
2018-07-01,
2018-07-01,
2018-07-01,
2018-07-01,
2018-07-01,0.6358693130955281
2018-07-02,
2018-07-02,
2018-07-02,
2018-07-02,
2018-07-02,
2018-07-02,
2018-07-03,
2018-07-03,
2018-07-03,
2018-07-03,0.5974850423508643
2018-07-03,
2018-07-03,
2018-07-03,
2018-07-03,
2018-07-03,
2018-07-04,
2018-07-04,
2018-07-04,
2018-07-04,
2018-07-04,0.6320499215593474
2018-07-05,
2018-07-05,
2018-07-05,
2018-07-05,
2018-07-05,
2018-07-05,
2018-07-05,
2018-07-05,
2018-07-06,
2018-07-06,0.5622684220121156
2018-07-06,
2018-07-06,
2018-07-06,
2018-07-06,
2018-07-06,0.629443881676737
2018-07-07,
2018-07-07,0.5482829193445561
2018-07-07,
2018-07-07,
2018-07-07,0.5716302360129111
2018-07-07,
2018-07-07,
2018-07-08,
2018-07-08,
2018-07-08,
2018-07-09,
2018-07-09,
2018-07-09,
2018-07-10,
2018-07-10,
2018-07-10,
2018-07-10,
2018-07-10,0.6040359540072698
2018-07-10,
2018-07-10,
2018-07-10,0.5784210825466835
2018-07-11,
2018-07-11,
2018-07-11,0.5922856106791414
2018-07-11,
2018-07-11,
2018-07-11,0.603218386664439
2018-07-11,
2018-07-12,
2018-07-13,
2018-07-13,
2018-07-13,
2018-07-13,
2018-07-13,
2018-07-14,
2018-07-14,
2018-07-14,0.5859717328172349
2018-07-14,
2018-07-14,
2018-07-15,0.6196346752156205
2018-07-15,
2018-07-15,0.6325427502117553
2018-07-16,
2018-07-17,
2018-07-17,
2018-07-18,
2018-07-18,
2018-07-18,0.586499742796979
2018-07-18,
2018-07-18,
2018-07-18,
2018-07-18,
2018-07-18,0.6127757892676379
2018-07-19,0.6248933300212527
2018-07-19,
2018-07-19,
2018-07-20,
2018-07-20,
2018-07-20,
2018-07-21,
2018-07-21,
2018-07-21,
2018-07-21,
2018-07-21,
2018-07-22,0.6261697955904278
2018-07-22,
2018-07-22,0.5926386438095623
2018-07-22,
2018-07-23,0.6287615294508443
2018-07-23,
2018-07-23,
2018-07-23,
2018-07-23,0.5785993832041829
2018-07-23,
2018-07-23,
2018-07-24,
2018-07-24,
2018-07-24,
2018-07-24,
2018-07-24,
2018-07-25,
2018-07-25,
2018-07-25,
2018-07-25,
2018-07-25,
2018-07-25,
2018-07-25,
2018-07-25,
2018-07-26,
2018-07-26,
2018-07-26,
2018-07-26,
2018-07-26,
2018-07-26,0.6235343291130493
2018-07-26,
2018-07-26,0.6278682147695931
2018-07-26,
2018-07-27,
2018-07-27,0.6256576165767268
2018-07-27,
2018-07-27,
2018-07-27,
2018-07-27,0.5840642150593339
2018-07-27,
2018-07-27,
2018-07-27,
2018-07-28,
2018-07-28,
2018-07-28,
2018-07-28,
2018-07-28,
2018-07-28,
2018-07-29,
2018-07-29,
2018-07-29,
2018-07-29,
2018-07-29,
2018-07-29,
2018-07-29,
2018-07-30,
2018-07-30,
2018-07-30,
2018-07-30,
2018-07-30,
2018-07-30,
2018-07-30,
2018-07-30,
2018-07-30,0.6289718857433396
2018-07-30,
2018-07-30,0.6300389639379863
2018-07-30,
2018-07-30,
2018-07-30,
2018-07-30,0.6346946441186478
2018-07-30,
2018-07-31,
2018-07-31,
2018-07-31,
2018-07-31,
2018-07-31,
2018-07-31,
2018-07-31,
2018-07-31,
2018-07-31,
2018-07-31,0.5848827234688265
2018-07-31,
