,Suspended Matter
2018-06-11,
2018-06-11,
2018-06-11,
2018-06-11,
2018-06-11,
2018-06-11,
2018-06-11,
2018-06-11,
2018-06-11,
2018-06-11,
2018-06-11,
2018-06-11,
2018-06-11,0.6463727466885345
2018-06-11,
2018-06-12,
2018-06-12,
2018-06-12,
2018-06-12,
2018-06-12,
2018-06-12,
2018-06-12,
2018-06-12,
2018-06-12,
2018-06-12,
2018-06-12,
2018-06-12,
2018-06-12,
2018-06-12,
2018-06-12,
2018-06-13,
2018-06-13,
2018-06-13,
2018-06-13,
2018-06-13,
2018-06-13,
2018-06-13,0.6570644042577054
2018-06-13,
2018-06-13,
2018-06-13,
2018-06-13,
2018-06-14,
2018-06-14,
2018-06-14,
2018-06-14,
2018-06-14,
2018-06-14,
2018-06-14,
2018-06-14,0.6179927121236353
2018-06-14,
2018-06-14,
2018-06-14,0.6521461310011426
2018-06-14,
2018-06-15,
2018-06-15,
2018-06-15,
2018-06-15,
2018-06-15,
2018-06-15,
2018-06-15,
2018-06-15,
2018-06-15,
2018-06-15,
2018-06-15,
2018-06-15,
2018-06-15,
2018-06-16,
2018-06-16,
2018-06-16,
2018-06-16,
2018-06-16,
2018-06-16,
2018-06-16,
2018-06-16,
2018-06-16,
2018-06-16,
2018-06-16,
2018-06-16,
2018-06-16,
2018-06-16,
2018-06-16,
2018-06-17,
2018-06-17,
2018-06-17,
2018-06-17,
2018-06-17,
2018-06-17,
2018-06-17,
2018-06-17,
2018-06-17,
2018-06-17,0.6607733975291586
2018-06-17,
2018-06-17,
2018-06-17,
2018-06-17,
2018-06-17,0.6276003172240177
2018-06-17,
2018-06-18,
2018-06-18,
2018-06-18,
2018-06-18,
2018-06-18,
2018-06-18,
2018-06-18,
2018-06-18,
2018-06-18,0.6419566671953413
2018-06-18,
2018-06-18,
2018-06-18,
2018-06-18,
2018-06-18,0.6255065882136415
2018-06-18,
2018-06-19,
2018-06-19,
2018-06-19,
2018-06-19,
2018-06-19,
2018-06-19,
2018-06-19,
2018-06-19,
2018-06-19,
2018-06-19,
2018-06-19,
2018-06-20,
2018-06-20,
2018-06-20,
2018-06-20,
2018-06-20,
2018-06-20,
2018-06-20,
2018-06-20,
2018-06-20,
2018-06-20,
2018-06-20,
2018-06-20,
2018-06-20,
2018-06-20,
2018-06-21,
2018-06-21,
2018-06-21,
2018-06-21,
2018-06-21,
2018-06-21,
2018-06-21,
2018-06-21,
2018-06-21,0.6482124658399704
2018-06-21,
2018-06-21,
2018-06-21,
2018-06-21,0.6399087833997406
2018-06-21,
2018-06-21,
2018-06-21,
