,Suspended Matter
2018-06-22,
2018-06-22,
2018-06-22,0.6004457640545121
2018-06-22,
2018-06-22,
2018-06-22,
2018-06-22,0.5960146158769882
2018-06-22,
2018-06-22,
2018-06-22,
2018-06-22,
2018-06-22,
2018-06-22,
2018-06-22,
2018-06-23,
2018-06-23,
2018-06-23,
2018-06-23,
2018-06-23,
2018-06-23,
2018-06-23,
2018-06-23,
2018-06-23,
2018-06-23,
2018-06-23,
2018-06-23,
2018-06-23,
2018-06-24,
2018-06-24,
2018-06-24,
2018-06-24,
2018-06-24,
2018-06-24,
2018-06-24,
2018-06-24,
2018-06-24,
2018-06-24,
2018-06-24,
2018-06-24,
2018-06-24,
2018-06-24,
2018-06-24,
2018-06-25,
2018-06-25,
2018-06-25,
2018-06-25,
2018-06-25,
2018-06-25,
2018-06-25,
2018-06-25,
2018-06-25,
2018-06-25,0.6316046163792994
2018-06-25,
2018-06-25,
2018-06-25,
2018-06-26,
2018-06-26,
2018-06-26,
2018-06-26,
2018-06-26,
2018-06-26,
2018-06-26,
2018-06-26,
2018-06-26,
2018-06-26,
2018-06-26,
2018-06-26,
2018-06-26,0.6411414408951189
2018-06-26,0.6427499116590488
2018-06-27,
2018-06-27,
2018-06-27,
2018-06-27,
2018-06-27,
2018-06-27,
2018-06-27,
2018-06-28,
2018-06-28,
2018-06-28,
2018-06-28,
2018-06-28,
2018-06-29,
2018-06-29,
2018-06-29,
2018-06-29,
2018-06-29,
2018-06-29,
2018-06-29,
2018-06-29,0.6294106371497334
2018-06-29,
2018-06-29,
2018-06-29,0.6390364153274273
2018-06-29,
2018-06-30,0.5906692131575924
2018-06-30,
2018-06-30,
2018-06-30,0.6172332939392468
2018-06-30,
2018-06-30,
