Date,Suspended Matter
2019-05-01,
2019-05-01,
2019-05-01,
2019-05-01,
2019-05-01,
2019-05-01,
2019-05-01,
2019-05-01,
2019-05-01,
2019-05-01,
2019-05-01,
2019-05-01,
2019-05-01,
2019-05-01,0.4847979285954348
2019-05-01,
2019-05-02,
2019-05-02,
2019-05-02,
2019-05-02,
2019-05-02,
2019-05-02,
2019-05-02,
2019-05-02,
2019-05-02,
2019-05-02,0.6713966122307133
2019-05-02,
2019-05-02,
2019-05-02,
2019-05-02,
2019-05-02,
2019-05-03,
2019-05-03,
2019-05-03,0.6291513318526485
2019-05-03,
2019-05-03,
2019-05-03,
2019-05-03,0.6425895391647231
2019-05-03,
2019-05-03,
2019-05-03,
2019-05-03,
2019-05-03,
2019-05-03,
2019-05-03,
2019-05-03,
2019-05-03,
2019-05-04,
2019-05-04,0.6715778193348462
2019-05-04,
2019-05-04,
2019-05-04,
2019-05-04,
2019-05-04,
2019-05-04,
2019-05-04,
2019-05-04,
2019-05-04,
2019-05-04,
2019-05-04,
2019-05-04,
2019-05-04,
2019-05-05,
2019-05-05,
2019-05-05,
2019-05-05,
2019-05-05,
2019-05-05,
2019-05-05,
2019-05-05,
2019-05-05,
2019-05-05,
2019-05-05,
2019-05-05,
2019-05-05,
2019-05-05,
2019-05-05,
2019-05-06,
2019-05-06,
2019-05-06,
2019-05-06,
2019-05-06,
2019-05-06,
2019-05-06,
2019-05-06,
2019-05-06,
2019-05-06,0.6685801886581488
2019-05-06,
2019-05-06,
2019-05-06,
2019-05-06,
2019-05-06,
2019-05-07,0.640300949223702
2019-05-07,
2019-05-07,
2019-05-07,
2019-05-07,
2019-05-07,
2019-05-07,
2019-05-07,
2019-05-07,
2019-05-07,
2019-05-07,0.6667298039078916
2019-05-07,
2019-05-07,
2019-05-07,
2019-05-07,
2019-05-07,
2019-05-08,
2019-05-08,
2019-05-08,
2019-05-08,
2019-05-08,
2019-05-08,
2019-05-08,
2019-05-08,
2019-05-08,0.6661624261414372
2019-05-08,
2019-05-08,
2019-05-08,
2019-05-08,
2019-05-08,
2019-05-08,
2019-05-08,
2019-05-09,
2019-05-09,
2019-05-09,
2019-05-09,
2019-05-09,
2019-05-09,
2019-05-09,
2019-05-09,
2019-05-09,
2019-05-09,
2019-05-09,
2019-05-09,
2019-05-09,
2019-05-09,
2019-05-10,
2019-05-10,
2019-05-10,
2019-05-10,
2019-05-10,
2019-05-10,
2019-05-10,
2019-05-10,
2019-05-10,
2019-05-10,
2019-05-10,0.6582918947457831
2019-05-10,
2019-05-10,
2019-05-10,
2019-05-10,
2019-05-11,0.6569976773875327
2019-05-11,
2019-05-11,
2019-05-11,
2019-05-11,
2019-05-11,
2019-05-11,
2019-05-11,
2019-05-11,
2019-05-11,
2019-05-11,
2019-05-11,
2019-05-11,
2019-05-11,
2019-05-11,
2019-05-11,
2019-05-12,0.6718751750276422
2019-05-12,
2019-05-12,
2019-05-12,
2019-05-12,
2019-05-12,
2019-05-12,
2019-05-12,
2019-05-12,
2019-05-12,
2019-05-12,
2019-05-12,
2019-05-12,
2019-05-12,
2019-05-12,
2019-05-12,
2019-05-13,
2019-05-13,
2019-05-13,
2019-05-13,
2019-05-13,
2019-05-13,
2019-05-13,
2019-05-13,
2019-05-13,
2019-05-13,
2019-05-13,
2019-05-13,0.6711534740805456
2019-05-13,
2019-05-13,
2019-05-13,
2019-05-14,
2019-05-14,
2019-05-14,
2019-05-14,
2019-05-14,
2019-05-14,
2019-05-14,
2019-05-14,
2019-05-14,
2019-05-14,
2019-05-14,
2019-05-14,
2019-05-14,
2019-05-14,
2019-05-14,0.6676200538922888
2019-05-15,
2019-05-15,
2019-05-15,
2019-05-15,
2019-05-15,
2019-05-15,
2019-05-15,
2019-05-15,
2019-05-15,
2019-05-15,
2019-05-15,
2019-05-15,
2019-05-15,
2019-05-15,0.6428221867104867
2019-05-15,
2019-05-16,0.6525615193706643
2019-05-16,
2019-05-16,
2019-05-16,
2019-05-16,
2019-05-16,
2019-05-16,
2019-05-16,
2019-05-16,
2019-05-16,
2019-05-16,
2019-05-16,
2019-05-16,
2019-05-16,
2019-05-16,
2019-05-16,
2019-05-17,
2019-05-17,
2019-05-17,
2019-05-17,
2019-05-17,0.6695459932238451
2019-05-17,
2019-05-17,
2019-05-17,
2019-05-17,
2019-05-17,
2019-05-17,
2019-05-17,
2019-05-17,
2019-05-17,
2019-05-17,
2019-05-18,
2019-05-18,
2019-05-18,
2019-05-18,
2019-05-18,
2019-05-18,
2019-05-18,
2019-05-18,
2019-05-18,
2019-05-18,0.6641986392260683
2019-05-18,
2019-05-18,
2019-05-18,
2019-05-18,
2019-05-18,
2019-05-19,
2019-05-19,
2019-05-19,
2019-05-19,
2019-05-19,
2019-05-19,
2019-05-19,
2019-05-19,
2019-05-19,
2019-05-19,
2019-05-19,
2019-05-19,
2019-05-19,
2019-05-19,
2019-05-19,0.6395799166015802
2019-05-20,
2019-05-20,
2019-05-20,
2019-05-20,
2019-05-20,
2019-05-20,
2019-05-20,
2019-05-20,
2019-05-20,
2019-05-20,
2019-05-20,
2019-05-20,
2019-05-20,
2019-05-20,
2019-05-20,0.6678252379281542
2019-05-20,
2019-05-21,
2019-05-21,
2019-05-21,
2019-05-21,
2019-05-21,
2019-05-21,
2019-05-21,
2019-05-21,
2019-05-21,
2019-05-21,
2019-05-21,
2019-05-21,
2019-05-21,0.6752948085027992
2019-05-21,
2019-05-21,
2019-05-22,
2019-05-22,
2019-05-22,
2019-05-22,
2019-05-22,
2019-05-22,
2019-05-22,
2019-05-22,
2019-05-22,
2019-05-22,0.6676117713067112
2019-05-22,
2019-05-22,
2019-05-22,
2019-05-22,
2019-05-22,
2019-05-23,
2019-05-23,
2019-05-23,
2019-05-23,
2019-05-23,
2019-05-23,
2019-05-23,
2019-05-23,
2019-05-23,
2019-05-23,
2019-05-23,0.6364784024330861
2019-05-23,
2019-05-23,
2019-05-23,
2019-05-23,
2019-05-24,
2019-05-24,
2019-05-24,
2019-05-24,
2019-05-24,
2019-05-24,
2019-05-24,
2019-05-24,
2019-05-24,
2019-05-24,
2019-05-24,
2019-05-24,0.6782214968707636
2019-05-24,
2019-05-24,
2019-05-24,
2019-05-24,
2019-05-25,
2019-05-25,
2019-05-25,
2019-05-25,
2019-05-25,
2019-05-25,
2019-05-25,
2019-05-25,
2019-05-25,
2019-05-25,
2019-05-25,0.6717421869305998
2019-05-25,
2019-05-25,
2019-05-25,
2019-05-25,
2019-05-26,0.639489757415708
2019-05-26,
2019-05-26,
2019-05-26,
2019-05-26,
2019-05-26,
2019-05-26,
2019-05-26,
2019-05-26,
2019-05-26,
2019-05-26,
2019-05-26,
2019-05-26,
2019-05-26,0.6427476917220866
2019-05-26,
2019-05-26,
2019-05-27,
2019-05-27,0.6640235876323438
2019-05-27,
2019-05-27,
2019-05-27,
2019-05-27,
2019-05-27,
2019-05-27,
2019-05-27,
2019-05-29,
2019-05-30,0.6711410562891897
2019-05-31,0.6358225351649827
2019-06-02,0.666099963521944
2019-06-03,0.6671647352391502
2019-06-03,0.6560391213526536
2019-06-04,0.6712705010157202
2019-06-06,0.6376403243091461
2019-06-07,0.6525236209631984
2019-06-07,0.6710307935104369
2019-06-08,0.6515078178409122
2019-06-09,
2019-06-10,0.6659325535993297
2019-06-11,0.6484219017068154
2019-06-12,0.6739672488187564
2019-06-13,0.6750875953806682
2019-06-14,0.6386654131986352
2019-06-15,0.6470993041124364
2019-06-16,0.6642117469749756
2019-06-17,0.6754466068187656
2019-06-18,0.65678994576229
2019-06-19,0.6173190070408021
2019-06-20,0.6281592047084302
2019-06-21,0.6429309849440358
2019-06-22,0.629316894009962
2019-06-22,0.6068552716734164
2019-06-23,0.6426033566536419
2019-06-25,0.6247245410431853
2019-06-26,0.6392067009199802
2019-06-26,0.6474112733726227
2019-06-27,0.6057797277566309
2019-06-29,0.6197176078048433
2019-06-30,0.608350847218975
2019-06-30,0.6292727938775083
2019-07-01,0.6363250160985364
2019-07-03,0.6302879743548846
2019-07-04,0.6258046528665593
2019-07-04,0.634023086999964
2019-07-05,0.6283640977788483
2019-07-06,
2019-07-07,0.6272779148074349
2019-07-08,0.6290257833894148
2019-07-09,0.6311151409473126
2019-07-10,0.6260084309453452
2019-07-11,0.6068483882444012
2019-07-12,0.6071420480454738
2019-07-13,0.6109472539447742
2019-07-14,0.6363602451341731
2019-07-15,0.6077310079429071
2019-07-16,0.6139472988981075
2019-07-17,0.5781509301472729
2019-07-18,0.5417061826283708
2019-07-19,0.5565821791452014
2019-07-19,0.5686035539922353
2019-07-20,0.5681832644583839
2019-07-22,0.5315128797643149
2019-07-23,0.5885906842077357
2019-07-23,0.6194198906278903
2019-07-24,0.5485626588188403
2019-07-26,0.4857722054775108
2019-07-27,0.6150811206019454
2019-07-27,0.5462678651284553
2019-07-28,0.5925805148340638
2019-07-30,0.635269807078034
2019-07-31,0.6317342958565143
2019-07-31,0.6312849954712231
2019-08-01,0.6164236579841366
2019-08-02,
2019-08-03,0.6257739466037024
2019-08-04,0.6380622402578839
2019-08-05,0.6333396393181664
2019-08-06,0.6251099491582626
2019-08-07,0.6204777612445599
2019-08-08,0.6249055580729804
2019-08-09,0.6215515779862675
2019-08-10,0.6206038966102609
2019-08-11,0.6295136052616108
2019-08-12,0.6261964150099681
2019-08-13,0.6174759184290866
2019-08-14,0.566303033699594
2019-08-15,0.6282196693684222
2019-08-15,0.6244256388555416
2019-08-16,0.6259751697630599
2019-08-18,0.6274161762353268
2019-08-19,0.6235853884608996
2019-08-19,0.6187948885990551
2019-08-20,0.5946481083275582
2019-08-22,0.611258853112706
2019-08-23,0.6252433707141353
2019-08-23,0.6062590146539566
2019-08-24,0.632253721931999
2019-08-26,0.6387466345772003
2019-08-27,0.6348071462580959
2019-08-27,0.6268133794896456
2019-08-28,0.6097351004057475
2019-08-29,
2019-08-30,0.5399914587504087
2019-08-31,0.6308438624366234
2019-09-01,0.5679103018980666
2019-09-02,0.6220275867419958
2019-09-03,0.6285429510587542
2019-09-04,0.6011332439859569
2019-09-05,0.6129802344227335
2019-09-06,0.627393975680457
2019-09-07,0.6241372177340251
2019-09-08,0.5078545822749891
2019-09-09,0.6281911101477893
2019-09-10,0.6298300593591802
2019-09-11,0.6310773220684668
2019-09-11,0.6206945204096446
2019-09-12,0.5589796457012518
2019-09-14,0.6242642824053259
2019-09-15,0.6240498257479176
2019-09-15,0.6219369447431548
2019-09-16,0.6314235874554662
2019-09-18,0.6245930448852081
2019-09-19,0.6166970507190426
2019-09-19,0.6272575808036622
2019-09-20,0.5349991931244434
2019-09-22,0.6001799282676948
2019-09-23,0.4862130820713432
2019-09-23,0.6178430083870087
2019-09-24,0.4805140898030712
2019-09-25,
2019-09-26,0.624953867995537
2019-09-27,0.6014345698967585
2019-09-28,0.6072544142791255
2019-09-29,0.630296794801911
2019-09-30,0.552545928278848
2019-10-01,0.6185114120782678
2019-10-02,0.601778529922661
2019-10-03,0.5157487742027388
2019-10-04,0.4216657781467584
2019-10-05,0.6378597411381747
2019-10-06,0.48364024926871413
2019-10-07,0.43410373637654587
2019-10-08,0.4268105852348797
2019-10-08,0.5497782306396535
2019-10-09,0.44584611537189556
2019-10-11,0.4365280522029102
2019-10-12,0.4044284938560932
2019-10-12,0.4772760618193109
2019-10-13,0.4101126429980124
2019-10-15,0.4337034345287356
2019-10-16,0.3928701646391042
2019-10-16,0.4121572295633091
2019-10-17,0.4013302511171615
2019-10-19,0.44653318784757606
2019-10-20,0.42412186700461124
2019-10-20,0.6242602997395396
2019-10-21,0.6303130917565787
2019-10-22,
2019-10-23,0.6125015586608709
2019-10-24,0.6215273583286298
2019-10-25,0.43462713990500385
2019-10-26,0.6270665611246633
2019-10-27,0.623783318871076
2019-10-28,0.5961197039350532
2019-10-29,0.4876025672577636
2019-10-30,0.6288383538230251
2019-10-31,0.45251471075550753
2019-11-01,0.6271324899372185
2019-11-02,0.43930934941356997
2019-11-03,0.4652342259021428
2019-11-04,0.46598400043377963
2019-11-04,0.6157265633037005
2019-11-05,0.42674800840288457
2019-11-07,0.4420234433847307
2019-11-08,0.4460485750365749
2019-11-08,0.4228982879652384
2019-11-09,0.5025561889377749
2019-11-11,0.4692309276339693
2019-11-12,0.4657509803756209
2019-11-12,0.4469649223648868
2019-11-13,0.4633653382533179
2019-11-15,0.4817349753169413
2019-11-16,0.5754783128506917
2019-11-16,0.46384085511612005
2019-11-17,0.4588345091533065
2019-11-18,
2019-11-19,0.5048527812198657
2019-11-20,0.47017285941963083
2019-11-21,0.535378543789872
2019-11-22,0.4682925362721732
2019-11-23,0.4781317934547437
2019-11-24,0.4515319063426901
2019-11-25,0.49385435724385734
2019-11-26,0.4715023898392658
2019-11-27,0.4786385175035499
2019-11-28,0.46373181588422047
2019-11-29,0.4586458703614101
2019-11-30,0.4845488782630807
2019-12-01,0.4903956605492583
2019-12-01,0.46621393184761634
2019-12-02,0.51615491660337
2019-12-04,0.4997615528534291
2019-12-05,0.4815441724105756
2019-12-05,0.48864230467335884
2019-12-06,0.47468477448777174
2019-12-08,0.554308830158376
2019-12-09,0.4772827392080691
2019-12-09,0.4448752779675264
2019-12-10,0.4866556618575162
2019-12-12,0.4899434093803381
2019-12-13,0.4737815981318287
2019-12-13,0.495022621832043
2019-12-14,0.46951570584504254
2019-12-15,
2019-12-16,0.6169562064788251
2019-12-17,0.5748265777350775
2019-12-18,0.4640088420968081
2019-12-19,0.6327517647921266
2019-12-20,0.46869096448769637
2019-12-21,0.4556032310254451
2019-12-22,0.4529222796454896
2019-12-23,0.46988788787750946
2019-12-24,0.4919133254313892
2019-12-25,0.4662378848757187
2019-12-26,0.5717304404428145
2019-12-27,0.6139523729331585
2019-12-28,0.47804016188993614
2019-12-28,0.47632085687968695
2019-12-29,0.44230917012595516
2019-12-31,0.4481561119735523
