Date,Suspended Matter
2018-05-01,
2018-05-01,
2018-05-01,
2018-05-01,
2018-05-01,
2018-05-01,
2018-05-01,
2018-05-01,
2018-05-01,
2018-05-01,
2018-05-01,
2018-05-01,
2018-05-01,
2018-05-01,
2018-05-01,
2018-05-02,
2018-05-02,
2018-05-02,
2018-05-02,
2018-05-02,
2018-05-02,
2018-05-02,
2018-05-02,
2018-05-02,
2018-05-02,0.6640456435271598
2018-05-02,
2018-05-02,
2018-05-02,
2018-05-02,
2018-05-02,
2018-05-03,
2018-05-03,
2018-05-03,
2018-05-03,
2018-05-03,
2018-05-03,
2018-05-03,
2018-05-03,
2018-05-03,
2018-05-03,0.6342599824867146
2018-05-03,
2018-05-03,
2018-05-03,
2018-05-03,
2018-05-03,
2018-05-04,
2018-05-04,
2018-05-04,
2018-05-04,
2018-05-04,
2018-05-04,
2018-05-04,
2018-05-04,
2018-05-04,
2018-05-04,
2018-05-04,
2018-05-04,
2018-05-04,
2018-05-04,
2018-05-05,
2018-05-05,
2018-05-05,
2018-05-05,
2018-05-05,
2018-05-05,
2018-05-05,
2018-05-05,
2018-05-05,
2018-05-05,
2018-05-05,
2018-05-05,
2018-05-05,
2018-05-05,
2018-05-05,
2018-05-06,
2018-05-06,
2018-05-06,
2018-05-06,
2018-05-06,
2018-05-06,
2018-05-06,
2018-05-06,
2018-05-06,
2018-05-06,
2018-05-06,0.6663945970990638
2018-05-06,
2018-05-06,
2018-05-06,
2018-05-06,
2018-05-07,
2018-05-07,
2018-05-07,
2018-05-07,
2018-05-07,
2018-05-07,
2018-05-07,
2018-05-07,
2018-05-07,
2018-05-07,
2018-05-07,
2018-05-07,
2018-05-07,
2018-05-07,0.6325910927667672
2018-05-07,
2018-05-08,
2018-05-08,
2018-05-08,
2018-05-08,
2018-05-08,
2018-05-08,
2018-05-08,
2018-05-08,
2018-05-08,
2018-05-08,
2018-05-08,
2018-05-08,
2018-05-08,
2018-05-08,
2018-05-08,
2018-05-09,
2018-05-09,
2018-05-09,
2018-05-09,
2018-05-09,
2018-05-09,
2018-05-09,
2018-05-09,
2018-05-09,
2018-05-09,
2018-05-09,
2018-05-09,
2018-05-09,
2018-05-09,
2018-05-10,
2018-05-10,
2018-05-10,
2018-05-10,
2018-05-10,
2018-05-10,
2018-05-10,
2018-05-10,
2018-05-10,
2018-05-10,0.6664434386881398
2018-05-10,
2018-05-10,
2018-05-10,
2018-05-10,
2018-05-10,
2018-05-11,
2018-05-11,
2018-05-11,
2018-05-11,
2018-05-11,
2018-05-11,
2018-05-11,
2018-05-11,
2018-05-11,
2018-05-11,0.6287433799037087
2018-05-11,
2018-05-11,
2018-05-11,
2018-05-11,
2018-05-11,
2018-05-12,
2018-05-12,
2018-05-12,
2018-05-12,
2018-05-12,
2018-05-12,
2018-05-12,
2018-05-12,
2018-05-12,
2018-05-12,
2018-05-12,
2018-05-12,
2018-05-12,
2018-05-12,
2018-05-12,
2018-05-13,
2018-05-13,
2018-05-13,
2018-05-13,
2018-05-13,
2018-05-13,
2018-05-13,
2018-05-13,
2018-05-13,
2018-05-13,0.6812432270160846
2018-05-13,
2018-05-13,
2018-05-13,
2018-05-13,
2018-05-13,
2018-05-14,
2018-05-14,
2018-05-14,
2018-05-14,
2018-05-14,
2018-05-14,
2018-05-14,
2018-05-14,0.6335734023961991
2018-05-14,
2018-05-14,
2018-05-14,0.6577058963967104
2018-05-14,
2018-05-14,
2018-05-14,
2018-05-14,
2018-05-14,
2018-05-15,
2018-05-15,
2018-05-15,
2018-05-15,
2018-05-15,
2018-05-15,
2018-05-15,
2018-05-15,
2018-05-15,
2018-05-15,
2018-05-15,
2018-05-15,
2018-05-15,
2018-05-15,
2018-05-15,
2018-05-15,
2018-05-15,
2018-05-15,
2018-05-15,
2018-05-15,
2018-05-15,
2018-05-15,
2018-05-15,
2018-05-15,
2018-05-15,
2018-05-15,
2018-05-15,
2018-05-15,
2018-05-16,
2018-05-16,
2018-05-16,
2018-05-16,
2018-05-16,
2018-05-16,
2018-05-16,
2018-05-16,
2018-05-16,
2018-05-16,
2018-05-16,
2018-05-16,0.6526845828375427
2018-05-16,
2018-05-16,
2018-05-16,
2018-05-16,
2018-05-16,
2018-05-16,
2018-05-16,
2018-05-16,
2018-05-16,
2018-05-16,
2018-05-16,
2018-05-16,
2018-05-16,
2018-05-16,
2018-05-16,
2018-05-16,
2018-05-16,
2018-05-16,
2018-05-17,
2018-05-17,
2018-05-17,
2018-05-17,
2018-05-17,0.6412335673114579
2018-05-17,
2018-05-17,
2018-05-17,
2018-05-17,
2018-05-17,
2018-05-17,
2018-05-17,
2018-05-17,
2018-05-17,
2018-05-17,
2018-05-17,
2018-05-17,
2018-05-17,
2018-05-17,
2018-05-17,
2018-05-17,0.6683534457667175
2018-05-17,
2018-05-17,
2018-05-17,
2018-05-17,
2018-05-17,
2018-05-17,
2018-05-18,
2018-05-18,
2018-05-18,
2018-05-18,
2018-05-18,
2018-05-18,
2018-05-18,0.6478902310146304
2018-05-18,
2018-05-18,
2018-05-18,
2018-05-18,
2018-05-18,
2018-05-18,
2018-05-18,
2018-05-18,
2018-05-18,
2018-05-18,
2018-05-18,
2018-05-18,
2018-05-18,
2018-05-18,
2018-05-18,
2018-05-18,
2018-05-18,
2018-05-18,
2018-05-18,
2018-05-18,
2018-05-19,
2018-05-19,
2018-05-19,
2018-05-19,
2018-05-19,
2018-05-19,
2018-05-19,
2018-05-19,
2018-05-19,
2018-05-19,
2018-05-19,
2018-05-19,
2018-05-19,
2018-05-19,
2018-05-19,
2018-05-19,
2018-05-19,
2018-05-19,
2018-05-19,
2018-05-19,
2018-05-19,
2018-05-19,
2018-05-19,
2018-05-19,
2018-05-19,
2018-05-19,
2018-05-20,
2018-05-20,
2018-05-20,
2018-05-20,
2018-05-20,
2018-05-20,
2018-05-20,
2018-05-20,
2018-05-20,
2018-05-20,
2018-05-20,
2018-05-20,
2018-05-20,
2018-05-20,
2018-05-20,
2018-05-20,
2018-05-20,
2018-05-20,
2018-05-20,0.6637894694018454
2018-05-20,
2018-05-20,
2018-05-20,
2018-05-20,
2018-05-20,
2018-05-20,
2018-05-20,
2018-05-21,
2018-05-21,
2018-05-21,
2018-05-21,
2018-05-21,
2018-05-21,
2018-05-21,
2018-05-21,
2018-05-21,
2018-05-21,0.6009116040191795
2018-05-21,
2018-05-21,
2018-05-21,
2018-05-21,
2018-05-21,
2018-05-21,
2018-05-21,
2018-05-21,
2018-05-21,
2018-05-21,
2018-05-21,
2018-05-21,
2018-05-21,0.6595292706797823
2018-05-21,
2018-05-21,
2018-05-21,
2018-05-21,
2018-05-21,
2018-05-22,
2018-05-22,
2018-05-22,
2018-05-22,0.6363577899628198
2018-05-22,
2018-05-22,
2018-05-22,
2018-05-22,
2018-05-22,
2018-05-22,
2018-05-22,
2018-05-22,
2018-05-22,
2018-05-22,
2018-05-22,
2018-05-22,
2018-05-22,
2018-05-22,
2018-05-22,
2018-05-22,
2018-05-22,
2018-05-22,
2018-05-22,
2018-05-22,
2018-05-22,
2018-05-23,
2018-05-23,
2018-05-23,
2018-05-23,
2018-05-23,
2018-05-23,
2018-05-23,
2018-05-23,
2018-05-23,
2018-05-23,
2018-05-23,
2018-05-23,
2018-05-23,
2018-05-23,
2018-05-23,
2018-05-23,
2018-05-23,
2018-05-23,
2018-05-23,
2018-05-23,
2018-05-23,
2018-05-23,
2018-05-23,
2018-05-23,
2018-05-24,
2018-05-24,
2018-05-24,
2018-05-24,
2018-05-24,
2018-05-24,
2018-05-24,
2018-05-24,
2018-05-24,
2018-05-24,
2018-05-24,
2018-05-24,
2018-05-24,
2018-05-24,
2018-05-24,
2018-05-24,
2018-05-24,
2018-05-24,
2018-05-24,
2018-05-24,
2018-05-24,
2018-05-24,
2018-05-24,
2018-05-24,
2018-05-24,
2018-05-24,
2018-05-24,
2018-05-24,
2018-05-25,
2018-05-25,
2018-05-25,
2018-05-25,
2018-05-25,
2018-05-25,
2018-05-25,0.6445888768427692
2018-05-25,
2018-05-25,
2018-05-25,
2018-05-25,
2018-05-25,
2018-05-25,
2018-05-25,
2018-05-25,
2018-05-25,
2018-05-25,
2018-05-25,
2018-05-25,0.6480870222642087
2018-05-25,
2018-05-25,
2018-05-25,
2018-05-25,
2018-05-25,
2018-05-25,
2018-05-25,
2018-05-26,
2018-05-26,
2018-05-26,
2018-05-26,
2018-05-26,0.5726574071127264
2018-05-26,
2018-05-26,
2018-05-26,
2018-05-26,
2018-05-26,
2018-05-26,
2018-05-26,
2018-05-26,
2018-05-26,
2018-05-26,
2018-05-26,
2018-05-26,0.6385092985014804
2018-05-26,
2018-05-26,
2018-05-26,
2018-05-26,
2018-05-26,
2018-05-26,
2018-05-26,
2018-05-26,
2018-05-27,
2018-05-27,
2018-05-27,
2018-05-27,
2018-05-27,
2018-05-27,
2018-05-27,
2018-05-27,
2018-05-27,
2018-05-27,
2018-05-27,
2018-05-27,
2018-05-27,
2018-05-27,
2018-05-27,
2018-05-27,
2018-05-27,
2018-05-27,
2018-05-27,
2018-05-27,
2018-05-27,
2018-05-27,
2018-05-27,
2018-05-28,
2018-05-28,
2018-05-28,
2018-05-28,
2018-05-28,
2018-05-28,
2018-05-28,
2018-05-28,
2018-05-28,
2018-05-28,
2018-05-28,
2018-05-28,
2018-05-28,
2018-05-28,
2018-05-28,
2018-05-28,
2018-05-28,
2018-05-29,
2018-05-29,
2018-05-29,
2018-05-29,
2018-05-29,
2018-05-29,
2018-05-29,0.6269035009511594
2018-05-29,
2018-05-29,
2018-05-29,
2018-05-29,
2018-05-29,
2018-05-29,0.6583171368204618
2018-05-29,
2018-05-29,
2018-05-29,
2018-05-29,
2018-05-29,
2018-05-29,
2018-05-29,
2018-05-29,
2018-05-30,
2018-05-30,
2018-05-30,
2018-05-30,0.6396912352386954
2018-05-30,
2018-05-30,
2018-05-30,
2018-05-30,
2018-05-30,
2018-05-30,
2018-05-30,
2018-05-30,
2018-05-30,
2018-05-31,
2018-05-31,
2018-05-31,
2018-05-31,
2018-05-31,
2018-05-31,
2018-05-31,
2018-05-31,
2018-05-31,
