Date,Suspended Matter
2018-07-01,0.5056970338635711
2018-07-01,
2018-07-01,
2018-07-01,
2018-07-01,
2018-07-01,
2018-07-01,
2018-07-01,
2018-07-01,
2018-07-01,
2018-07-01,
2018-07-01,
2018-07-02,
2018-07-02,
2018-07-02,
2018-07-02,
2018-07-02,
2018-07-02,
2018-07-03,
2018-07-03,0.5370264115911961
2018-07-03,0.5882878920826334
2018-07-03,
2018-07-03,
2018-07-03,
2018-07-03,
2018-07-03,
2018-07-03,
2018-07-04,
2018-07-04,
2018-07-04,
2018-07-04,
2018-07-04,0.6263536505183246
2018-07-05,
2018-07-05,
2018-07-05,
2018-07-05,
2018-07-05,
2018-07-05,
2018-07-05,
2018-07-05,
2018-07-06,0.6333822118067162
2018-07-06,
2018-07-06,
2018-07-06,
2018-07-06,0.5699329799008143
2018-07-06,
2018-07-06,
2018-07-07,0.5612953898255858
2018-07-07,
2018-07-07,
2018-07-07,
2018-07-07,
2018-07-07,
2018-07-07,0.5753182292553607
2018-07-08,
2018-07-08,
2018-07-08,
2018-07-09,
2018-07-09,
2018-07-09,
2018-07-10,0.6313678546498015
2018-07-10,
2018-07-10,
2018-07-10,
2018-07-10,0.5614526521102995
2018-07-10,
2018-07-10,
2018-07-10,
2018-07-11,
2018-07-11,
2018-07-11,
2018-07-11,0.6323120450333155
2018-07-11,
2018-07-11,
2018-07-11,0.5928255444586649
2018-07-12,
2018-07-13,
2018-07-13,
2018-07-13,
2018-07-13,
2018-07-13,
2018-07-14,
2018-07-14,
2018-07-14,0.5915924316369042
2018-07-14,
2018-07-14,
2018-07-15,
2018-07-15,0.6171866630043703
2018-07-15,0.6322344881871751
2018-07-16,
2018-07-17,
2018-07-17,
2018-07-18,
2018-07-18,0.6197842257570763
2018-07-18,0.5873804379939236
2018-07-18,
2018-07-18,
2018-07-18,
2018-07-18,
2018-07-18,
2018-07-19,0.626096566391568
2018-07-19,
2018-07-19,
2018-07-20,
2018-07-20,
2018-07-20,
2018-07-21,
2018-07-21,
2018-07-21,
2018-07-21,
2018-07-21,
2018-07-22,0.6288723370956254
2018-07-22,0.5951018086898888
2018-07-22,
2018-07-22,
2018-07-23,
2018-07-23,
2018-07-23,0.5811281199372351
2018-07-23,
2018-07-23,
2018-07-23,
2018-07-23,0.6306322264833477
2018-07-24,
2018-07-24,
2018-07-24,
2018-07-24,
2018-07-24,
2018-07-25,
2018-07-25,
2018-07-25,
2018-07-25,
2018-07-25,
2018-07-25,
2018-07-25,
2018-07-25,
2018-07-26,
2018-07-26,
2018-07-26,
2018-07-26,
2018-07-26,
2018-07-26,
2018-07-26,
2018-07-26,0.6289932660451707
2018-07-26,0.623158466724228
2018-07-27,
2018-07-27,
2018-07-27,
