,Temperature
07-01-2016,20.70575258
23-01-2016,21.97516054
08-02-2016,19.81435235
24-02-2016,23.8571764
11-03-2016,25.00128905
27-03-2016,29.40627996
12-04-2016,28.65411925
28-04-2016,32.15786603
14-05-2016,-0.351012326
30-05-2016,34.06740688
15-06-2016,36.58007121
01-07-2016,30.06405671
19-09-2016,-3.840118495
05-10-2016,33.11655959
21-10-2016,27.94268983
06-11-2016,29.67083999
22-11-2016,27.04371879
08-12-2016,25.57157215
24-12-2016,21.91950155
09-01-2017,24.33233754
25-01-2017,18.97104599
10-02-2017,23.65708463
26-02-2017,20.80494841
14-03-2017,25.11939039
30-03-2017,25.26751655
15-04-2017,31.59044604
01-05-2017,32.57916384
17-05-2017,33.42397624
02-06-2017,36.25806026
18-06-2017,38.54055269
21-08-2017,23.69192172
06-09-2017,27.49494653
22-09-2017,23.08655452
08-10-2017,-58.93110287
24-10-2017,33.68319411
09-11-2017,28.86708848
25-11-2017,26.18777655
11-12-2017,23.8850859
27-12-2017,22.07327501
12-01-2018,20.63581161
28-01-2018,20.38457288
13-02-2018,22.3097726
01-03-2018,16.16921803
17-03-2018,27.96890745
02-04-2018,34.73668851
18-04-2018,33.66200237
04-05-2018,37.48033957
20-05-2018,38.55343466
05-06-2018,38.95675125
21-06-2018,39.61416884
07-07-2018,41.02684403
09-09-2018,36.13023234
25-09-2018,18.04670565
11-10-2018,29.03345356
27-10-2018,34.78221191
12-11-2018,29.76400977
28-11-2018,26.47846096
14-12-2018,23.62781757
30-12-2018,19.97764942
15-01-2019,18.48138878
31-01-2019,18.81852054
16-02-2019,-25.48455846
04-03-2019,20.868994
20-03-2019,22.59342676
05-04-2019,28.05691054
21-04-2019,31.88511292
07-05-2019,34.30165622
23-05-2019,34.55431933
08-06-2019,37.57741239
24-06-2019,41.54101341
10-07-2019,11.03889224
11-08-2019,-123.1485201
14-10-2019,3.336794546
30-10-2019,32.10823453
15-11-2019,26.25422498
01-12-2019,27.49652568
17-12-2019,20.51178022
02-01-2020,11.63688963
18-01-2020,13.93448048
03-02-2020,18.00263051
19-02-2020,19.60121532
06-03-2020,15.81016926
22-03-2020,24.05163755
07-04-2020,31.55249098
23-04-2020,33.3461893
09-05-2020,32.65293324
25-05-2020,34.93852571
10-06-2020,35.36783159
26-06-2020,34.47677817
12-07-2020,28.36444915
28-07-2020,-7.898216492
14-09-2020,27.07669243
30-09-2020,35.47153831
16-10-2020,31.33425777
01-11-2020,22.16993494
17-11-2020,26.49820871
03-12-2020,26.06384964
19-12-2020,23.91121954
04-01-2021,20.20442417
20-01-2021,-36.75627184
05-02-2021,22.85001133
21-02-2021,20.89198319
09-03-2021,23.63779709
25-03-2021,27.89176546
10-04-2021,27.19359604
26-04-2021,31.48688466
12-05-2021,32.59363845
28-05-2021,32.30660112
13-06-2021,34.53963137
29-06-2021,32.08731705
15-07-2021,31.61284213
16-08-2021,6.55635525
03-10-2021,30.7713784
19-10-2021,33.21975802
04-11-2021,23.74172681
20-11-2021,23.81042
06-12-2021,22.63682206
22-12-2021,23.96363691
07-01-2022,21.45760424
23-01-2022,-15.29246416
08-02-2022,18.1851253
24-02-2022,20.69472376
12-03-2022,24.53197633
28-03-2022,28.13332249
13-04-2022,29.50114245
29-04-2022,28.05255902
15-05-2022,32.78440266
31-05-2022,24.31457216
16-06-2022,22.62461304
03-08-2022,39.08067317
04-09-2022,-123.1485201
20-09-2022,28.04174285
06-10-2022,29.81315817
22-10-2022,28.9444667
07-11-2022,30.30854114
23-11-2022,28.13281418
09-12-2022,23.25257206
25-12-2022,21.32471145
