Dates,Temperature
12/19/2020,31.22025221
12/26/2020,21.55970053
1/4/2021,23.32743137
1/11/2021,24.29245481
1/20/2021,-15.25807839
1/27/2021,17.27368913
2/5/2021,26.31112511
2/12/2021,21.30305664
2/21/2021,25.91437801
2/28/2021,30.31062045
3/9/2021,30.74509581
3/16/2021,38.62795523
3/25/2021,40.61495629
4/1/2021,40.24793365
4/10/2021,41.14718556
4/17/2021,48.10582184
4/26/2021,46.53335738
5/3/2021,51.7751273
5/12/2021,50.87510435
5/19/2021,44.53623555
5/28/2021,51.38792423
6/4/2021,4.608319729
6/13/2021,32.24199928
6/29/2021,32.73202007
7/6/2021,2.093037638
7/15/2021,40.85046409
8/16/2021,21.31483135
9/24/2021,47.24911319
10/3/2021,30.38379276
10/10/2021,29.56068955
10/19/2021,30.52344771
10/26/2021,38.65521642
11/4/2021,25.99044639
11/11/2021,32.89488616
11/20/2021,18.55015682
11/27/2021,30.47723726
12/6/2021,5.173531147
12/13/2021,33.01527803
12/22/2021,29.70118826
12/29/2021,26.41674709
