Dates,Temperature
1/7/2016,15.56459134
1/14/2016,25.47249747
1/23/2016,17.23380879
1/30/2016,26.23587402
2/8/2016,24.02366545
2/15/2016,31.20498848
2/24/2016,28.57414775
3/2/2016,20.52138566
3/11/2016,34.39416217
3/18/2016,39.44828117
3/27/2016,41.40453032
4/3/2016,46.31199877
4/12/2016,11.32598274
4/19/2016,24.7873173
4/28/2016,52.24707265
5/5/2016,54.6696052
5/14/2016,20.90315396
5/21/2016,55.42957884
5/30/2016,53.64783041
6/6/2016,49.20192043
6/15/2016,45.4759789
7/1/2016,27.92447329
8/25/2016,39.28094017
9/10/2016,19.08619443
9/19/2016,-10.41287962
9/26/2016,28.22257998
10/5/2016,25.81901693
10/12/2016,31.86948428
10/21/2016,30.83893241
10/28/2016,38.50335592
11/6/2016,39.00793167
11/13/2016,36.50431145
11/22/2016,34.41555911
11/29/2016,34.77033
12/8/2016,33.16776285
12/15/2016,33.09536098
12/24/2016,27.75830231
12/31/2016,28.2288939
1/9/2017,27.51312473
1/16/2017,26.55442076
1/25/2017,17.84197089
2/1/2017,23.81475585
2/10/2017,29.02259576
2/17/2017,28.24542536
2/26/2017,25.76279682
3/5/2017,27.17417283
3/14/2017,35.31791305
3/21/2017,35.33099903
3/30/2017,37.39540513
4/6/2017,44.36419377
4/15/2017,49.41059399
4/22/2017,50.14486934
5/1/2017,52.0200929
5/8/2017,51.44642777
5/17/2017,50.11611017
5/24/2017,51.89403782
6/2/2017,52.82601664
6/9/2017,59.86394776
6/18/2017,49.39976306
6/25/2017,36.51657471
7/11/2017,37.72013131
8/21/2017,43.93433964
9/6/2017,20.72358926
9/22/2017,21.77946753
9/29/2017,6.733913168
10/8/2017,-47.62641584
10/15/2017,40.41168012
10/24/2017,38.31137666
10/31/2017,41.5735903
11/9/2017,38.82461635
11/16/2017,38.27572492
11/25/2017,34.63243494
12/2/2017,32.6192316
12/11/2017,30.55317683
12/18/2017,18.48026705
12/27/2017,27.86394315
1/3/2018,12.7762908
1/12/2018,25.57159882
1/19/2018,23.23354933
1/28/2018,25.93802071
2/4/2018,27.54583489
2/13/2018,26.44730985
2/20/2018,26.96681218
3/1/2018,-10.22029445
3/8/2018,33.82192299
3/17/2018,37.13038402
3/24/2018,21.00319778
4/2/2018,40.75404957
4/9/2018,45.11478546
4/18/2018,48.50354916
4/25/2018,50.24548109
5/4/2018,53.75625785
5/11/2018,56.99451388
5/20/2018,56.39952279
5/27/2018,58.52726141
6/5/2018,55.25337034
6/12/2018,56.02366085
6/21/2018,43.47929149
7/7/2018,43.81713786
9/9/2018,-7.424635525
9/16/2018,26.70657544
9/25/2018,24.3932923
10/2/2018,32.95263425
10/11/2018,34.94531552
10/18/2018,43.06555959
10/27/2018,34.62595615
11/3/2018,36.72928751
11/12/2018,40.41979948
11/19/2018,39.42285019
11/28/2018,35.40724595
12/5/2018,29.98537511
12/14/2018,28.5058138
12/21/2018,28.45087251
12/30/2018,23.61591859
1/6/2019,25.06157837
1/15/2019,23.3040255
1/22/2019,24.65005607
1/31/2019,21.89674069
2/7/2019,25.17723751
2/16/2019,5.88929063
2/23/2019,28.07620871
3/4/2019,26.11185782
3/11/2019,29.30611756
3/20/2019,32.34925921
3/27/2019,33.35105426
4/5/2019,41.33812152
4/12/2019,43.86147953
4/21/2019,48.89412703
4/28/2019,53.11376407
5/7/2019,52.67991941
5/14/2019,58.02572672
5/23/2019,54.42649105
5/30/2019,52.38496252
6/8/2019,57.84167296
6/15/2019,55.28925801
6/24/2019,59.54135362
7/1/2019,47.13302954
7/10/2019,24.88891073
7/17/2019,-18.2580345
8/11/2019,-54.16611251
10/5/2019,35.73706416
10/14/2019,15.57619322
10/21/2019,28.54368599
10/30/2019,36.0916972
11/6/2019,-68.06622967
11/15/2019,22.10487647
11/22/2019,42.28067471
12/1/2019,32.94675668
12/8/2019,34.79612378
12/17/2019,16.50426141
12/24/2019,27.95076898
1/2/2020,15.33023585
1/9/2020,17.38693509
1/18/2020,5.469751822
1/25/2020,20.62970497
2/3/2020,17.3801071
2/10/2020,24.23356546
2/19/2020,21.40202725
2/26/2020,24.14756654
3/6/2020,21.91034785
3/13/2020,31.00056715
3/22/2020,30.72270712
3/29/2020,25.26444141
4/7/2020,41.14739072
4/14/2020,39.74512851
4/23/2020,46.58686989
4/30/2020,49.24030261
5/9/2020,50.12911291
5/16/2020,35.76732107
5/25/2020,52.77145439
6/1/2020,53.61128819
6/10/2020,55.69279948
6/17/2020,-17.63144727
6/26/2020,42.89905404
7/3/2020,-22.46084068
7/12/2020,-31.69487478
7/28/2020,5.742756848
8/4/2020,-91.41411219
9/5/2020,-35.27108525
9/14/2020,-22.24979627
9/21/2020,32.31433121
9/30/2020,33.88039233
10/7/2020,-4.684635648
10/16/2020,27.65295196
10/23/2020,38.59970877
11/1/2020,23.21797649
11/17/2020,34.25503059
11/24/2020,43.86517302
12/3/2020,34.47186537
12/10/2020,32.09214457
