Dates,Salinty
12/18/2018,0.045812613
12/23/2018,0.121707463
12/28/2018,0.047125531
1/2/2019,0.087555514
1/7/2019,0.055602885
1/12/2019,0.167669681
1/17/2019,0.079336409
1/22/2019,0.088933698
1/27/2019,0.057029542
2/1/2019,0.086361036
2/6/2019,0.043824669
2/11/2019,0.14568382
2/16/2019,0.040200729
2/21/2019,0.075548738
2/26/2019,0.021976447
3/8/2019,0.07033411
3/13/2019,0.056044396
3/18/2019,0.026136245
3/23/2019,0.063308968
3/28/2019,0.077180653
4/2/2019,0.08409495
4/7/2019,0.062502555
4/12/2019,0.090090721
4/17/2019,0.065835421
4/22/2019,0.045656578
4/27/2019,0.060133966
5/2/2019,0.084039655
5/7/2019,0.064835807
5/12/2019,0.085032541
5/17/2019,0.070223604
5/22/2019,0.103633976
5/27/2019,0.063916667
6/1/2019,0.085841817
6/6/2019,0.055273522
6/11/2019,0.091603668
10/4/2019,0.05727139
10/9/2019,0.097806318
10/14/2019,0.08956528
11/23/2019,0.101840427
11/28/2019,0.144062735
12/3/2019,0.110866687
12/8/2019,0.175516848
12/13/2019,0.104702069
12/18/2019,0.147620318
12/23/2019,0.088929863
12/28/2019,0.120728719
1/12/2020,0.056383965
1/17/2020,0.087382112
2/1/2020,0.112425827
2/6/2020,0.06579157
2/11/2020,0.04825809
2/16/2020,0.066148071
2/21/2020,0.016341785
2/26/2020,0.069985575
3/2/2020,0.044883579
3/7/2020,0.078236626
3/12/2020,0.037887184
3/17/2020,0.043666423
3/22/2020,0.002503211
4/1/2020,0.068696751
4/6/2020,0.100108845
4/11/2020,0.065933154
4/16/2020,0.099958599
4/21/2020,0.0482881
4/26/2020,0.089723992
5/1/2020,0.056974091
5/6/2020,0.09573422
5/11/2020,0.034513996
5/16/2020,0.097271112
5/21/2020,0.087687096
5/26/2020,0.101148559
5/31/2020,0.063215982
6/5/2020,0.104681065
6/10/2020,0.12053266
6/30/2020,0.113796717
9/28/2020,0.124449745
10/18/2020,0.137747408
10/23/2020,0.146584228
10/28/2020,0.094208731
11/2/2020,0.12503665
11/7/2020,0.08204224
11/12/2020,0.123933434
11/17/2020,0.094278913
11/22/2020,0.148327498
11/27/2020,0.095813582
12/2/2020,0.12581579
12/7/2020,0.063036307
12/17/2020,0.092043477
12/22/2020,0.12106708
12/27/2020,0.060749421
1/1/2021,0.117263626
1/6/2021,0.130988924
1/16/2021,0.15059201
1/21/2021,0.124535287
1/26/2021,0.094331241
1/31/2021,0.083801259
2/5/2021,0.028727048
2/10/2021,0.118412316
2/15/2021,0.01903145
2/20/2021,0.082161497
2/25/2021,0.030329845
3/2/2021,0.069499384
3/7/2021,0.027640873
3/17/2021,0.055682998
3/27/2021,0.140495203
4/1/2021,0.091307622
4/6/2021,0.049562019
4/11/2021,0.081293697
4/16/2021,0.087626066
4/26/2021,0.066715322
5/6/2021,0.076686501
5/11/2021,0.07927553
5/16/2021,0.031285479
5/21/2021,0.080683913
5/26/2021,0.054872362
7/5/2021,0.081204521
10/13/2021,0.119565516
10/23/2021,0.086662655
10/28/2021,0.149695893
11/2/2021,0.089285596
11/7/2021,0.112827214
11/12/2021,0.049448385
11/27/2021,0.102001706
12/7/2021,0.086433047
12/12/2021,0.165808802
12/22/2021,0.112235121
12/27/2021,0.101109739
1/21/2022,0.073655757
1/26/2022,0.065146175
1/31/2022,0.01041777
2/5/2022,0.016588689
2/10/2022,0.013236985
2/15/2022,0.027404583
2/20/2022,-0.007387954
3/2/2022,0.014909412
3/12/2022,0.013908607
3/17/2022,0.016867141
3/22/2022,0.013438746
3/27/2022,0.038628039
4/1/2022,0.021910059
4/6/2022,0.029837201
4/16/2022,0.017648648
4/26/2022,0.027432089
5/1/2022,0.021940857
5/6/2022,0.066153852
5/11/2022,0.035883246
5/16/2022,0.041099087
5/21/2022,0.029868005
5/26/2022,0.044992357
5/31/2022,0.044867666
10/3/2022,0.054097173
10/13/2022,0.02877046
10/18/2022,0.018402583
10/23/2022,0.031019931
10/28/2022,0.024258209
11/2/2022,0.035330316
11/7/2022,0.026531768
11/12/2022,0.037144477
11/17/2022,0.026968473
11/22/2022,0.029507226
11/27/2022,0.02093605
12/2/2022,0.02685535
12/7/2022,0.023625072
12/17/2022,0.028904256
12/22/2022,0.028623214
12/27/2022,0.01755187
