Dates,pH
12/18/2018,7.646701412
12/23/2018,7.701274389
12/28/2018,7.746300856
1/2/2019,7.781915425
1/7/2019,7.804109764
1/12/2019,7.536390094
1/17/2019,7.432820606
1/22/2019,7.577171317
1/27/2019,7.960180803
2/1/2019,7.582667114
2/6/2019,7.829088548
2/11/2019,7.424333943
2/16/2019,7.917563542
2/21/2019,7.863509103
2/26/2019,8.06640064
3/8/2019,7.857201142
3/13/2019,8.08577261
3/18/2019,8.254513103
3/23/2019,8.1358593
3/28/2019,7.987743332
4/2/2019,7.858817556
4/7/2019,7.902278122
4/12/2019,7.829983983
4/17/2019,7.88845618
4/22/2019,7.525533272
4/27/2019,7.886519917
5/2/2019,7.728171855
5/7/2019,7.884053306
5/12/2019,7.755406488
5/17/2019,7.873208141
5/22/2019,7.817310141
5/27/2019,7.963006912
6/1/2019,7.777385868
6/6/2019,7.834474095
6/11/2019,7.773384946
10/4/2019,7.842943254
10/9/2019,6.872861498
10/14/2019,7.869962031
11/23/2019,7.93073367
11/28/2019,7.707381673
12/3/2019,7.757320329
12/8/2019,7.649517148
12/13/2019,7.745486218
12/18/2019,7.769891981
12/23/2019,7.836093062
12/28/2019,7.68741293
1/12/2020,7.775093161
1/17/2020,7.702198008
2/1/2020,7.718964135
2/6/2020,7.650982814
2/11/2020,7.769156009
2/16/2020,7.658290719
2/21/2020,7.950743757
2/26/2020,7.628872972
3/2/2020,8.053095994
3/7/2020,7.865822681
3/12/2020,8.177427828
3/17/2020,8.210878202
3/22/2020,8.250402517
4/1/2020,8.244119263
4/6/2020,7.945411007
4/11/2020,7.81819487
4/16/2020,7.801132835
4/21/2020,7.891457316
4/26/2020,7.802154152
5/1/2020,7.804039291
5/6/2020,7.832047765
5/11/2020,7.841597259
5/16/2020,7.780141875
5/21/2020,7.896469867
5/26/2020,7.909409441
5/31/2020,7.886594983
6/5/2020,7.774625568
6/10/2020,7.767091702
6/30/2020,7.735983369
9/28/2020,7.785724036
10/18/2020,7.807147808
10/23/2020,7.769439415
10/28/2020,7.899830788
11/2/2020,7.846301358
11/7/2020,7.960040834
11/12/2020,7.857218356
11/17/2020,7.804828486
11/22/2020,7.630214094
11/27/2020,7.823401652
12/2/2020,7.804995926
12/7/2020,7.888532487
12/17/2020,7.858860832
12/22/2020,7.903709994
12/27/2020,7.987186844
1/1/2021,7.832415301
1/6/2021,7.625640854
1/16/2021,7.757295577
1/21/2021,7.864795488
1/26/2021,7.899857786
1/31/2021,8.202632486
2/5/2021,8.058929593
2/10/2021,7.76075187
2/15/2021,8.027621381
2/20/2021,8.031309056
2/25/2021,8.035114001
3/2/2021,8.06409809
3/7/2021,8.155042088
3/17/2021,8.218243376
3/27/2021,7.684268347
4/1/2021,8.003831653
4/6/2021,8.056447493
4/11/2021,7.896943227
4/16/2021,7.799692782
4/26/2021,7.869878753
5/6/2021,8.002649636
5/11/2021,7.95389363
5/16/2021,8.033876227
5/21/2021,7.829976875
5/26/2021,7.96131335
7/5/2021,7.937993859
10/13/2021,7.735381496
10/23/2021,7.939516762
10/28/2021,7.459683321
11/2/2021,7.996886567
11/7/2021,7.935350307
11/12/2021,7.605486517
11/27/2021,7.916494935
12/7/2021,7.959623447
12/12/2021,7.696391402
12/22/2021,7.961288012
12/27/2021,7.975245943
1/21/2022,8.012585068
1/26/2022,7.838502017
1/31/2022,7.65511853
2/5/2022,7.615206228
2/10/2022,7.720543881
2/15/2022,7.649073506
2/20/2022,7.06470679
3/2/2022,7.655962508
3/12/2022,7.710658517
3/17/2022,7.722650143
3/22/2022,7.790571637
3/27/2022,7.638110113
4/1/2022,7.702472923
4/6/2022,7.729006868
4/16/2022,7.6754537
4/26/2022,7.713667857
5/1/2022,7.658718831
5/6/2022,7.518316098
5/11/2022,7.804505503
5/16/2022,7.822885552
5/21/2022,7.759522695
5/26/2022,7.780525907
5/31/2022,7.782171518
10/3/2022,7.775614588
10/13/2022,7.617700909
10/18/2022,7.642365564
10/23/2022,7.571386989
10/28/2022,7.634437137
11/2/2022,7.615244126
11/7/2022,7.624711567
11/12/2022,7.592503962
11/17/2022,7.279135271
11/22/2022,7.587438257
11/27/2022,7.603351616
12/2/2022,7.584001277
12/7/2022,7.642138315
12/17/2022,7.663043601
12/22/2022,7.595176735
12/27/2022,7.589545846
