Dates,Turbidity
12/18/2018,-0.014846666
12/23/2018,-0.084655059
12/28/2018,-0.098597535
1/2/2019,-0.067776813
1/7/2019,-0.079715573
1/12/2019,-0.044735225
1/17/2019,-0.045380423
1/22/2019,-0.06859635
1/27/2019,-0.058739682
2/1/2019,-0.116930267
2/6/2019,-0.093712768
2/11/2019,-0.060789775
2/16/2019,-0.09188622
2/21/2019,-0.116770087
2/26/2019,-0.199328034
3/8/2019,-0.040178993
3/13/2019,-0.138363316
3/18/2019,-0.110840506
3/23/2019,-0.532300408
3/28/2019,-0.077576618
4/2/2019,-0.086269688
4/7/2019,-0.099293419
4/12/2019,-0.041397808
4/17/2019,-0.067242692
4/22/2019,-0.01716724
4/27/2019,-0.112885478
5/2/2019,-0.050528575
5/7/2019,-0.025657235
5/12/2019,-0.035684242
5/17/2019,0.004019734
5/22/2019,-0.020010001
5/27/2019,-0.082365783
6/1/2019,-0.051053593
6/6/2019,-0.051382071
6/11/2019,-0.016263603
10/4/2019,-0.02625889
10/9/2019,-0.160716743
10/14/2019,-0.222756951
11/23/2019,-0.243350811
11/28/2019,-0.171545012
12/3/2019,-0.159312386
12/8/2019,-0.111228436
12/13/2019,-0.14048287
12/18/2019,-0.173329511
12/23/2019,-0.160294914
12/28/2019,-0.106490302
1/12/2020,-0.165194755
1/17/2020,-0.162489116
2/1/2020,-0.128346407
2/6/2020,-0.200015152
2/11/2020,-0.148220824
2/16/2020,-0.14769996
2/21/2020,-0.329213918
2/26/2020,-0.11260623
3/2/2020,-0.164118684
3/7/2020,-0.150805686
3/12/2020,-0.196770807
3/17/2020,-0.674073799
3/22/2020,-0.67991776
4/1/2020,-0.443793775
4/6/2020,-0.119103921
4/11/2020,-0.136751421
4/16/2020,-0.083575445
4/21/2020,-0.176396831
4/26/2020,-0.089520541
5/1/2020,-0.110760562
5/6/2020,-0.081936658
5/11/2020,-0.052626089
5/16/2020,-0.10040661
5/21/2020,-0.09453156
5/26/2020,-0.099505997
5/31/2020,-0.087976765
6/5/2020,-0.050948833
6/10/2020,-0.123412732
6/30/2020,-0.097733903
9/28/2020,-0.122847975
10/18/2020,-0.174242979
10/23/2020,-0.190355061
10/28/2020,-0.203352559
11/2/2020,-0.164081111
11/7/2020,-0.192894656
11/12/2020,-0.162155947
11/17/2020,-0.186658041
11/22/2020,-0.158502565
11/27/2020,-0.173629449
12/2/2020,-0.17762524
12/7/2020,-0.209307182
12/17/2020,-0.202152546
12/22/2020,-0.178187856
12/27/2020,-0.220770464
1/1/2021,-0.14639083
1/6/2021,-0.103314736
1/16/2021,-0.10504699
1/21/2021,-0.157712322
1/26/2021,-0.157269072
1/31/2021,-0.234876914
2/5/2021,-0.217576462
2/10/2021,-0.102777117
2/15/2021,-0.196662311
2/20/2021,-0.15299516
2/25/2021,-0.199147078
3/2/2021,-0.249890335
3/7/2021,-0.253168828
3/17/2021,-0.299425627
3/27/2021,-0.049131614
4/1/2021,-0.1552391
4/6/2021,-0.165407288
4/11/2021,-0.11762612
4/16/2021,-0.09319181
4/26/2021,-0.132220601
5/6/2021,-0.231457983
5/11/2021,-0.190765462
5/16/2021,-0.241286962
5/21/2021,-0.200199823
5/26/2021,-0.182588082
7/5/2021,-0.150775535
10/13/2021,-0.11003751
10/23/2021,-0.242459713
10/28/2021,-0.179197646
11/2/2021,-0.222509046
11/7/2021,-0.230312692
11/12/2021,-0.057614606
11/27/2021,-0.20213024
12/7/2021,-0.184523787
12/12/2021,-0.094015347
12/22/2021,-0.178904244
12/27/2021,-0.179355249
1/21/2022,-0.156113331
1/26/2022,-0.145938174
1/31/2022,-0.026274384
2/5/2022,-0.023595351
2/10/2022,-0.007722659
2/15/2022,-0.008639558
2/20/2022,-0.01087735
3/2/2022,-0.013102313
3/12/2022,-0.004808335
3/17/2022,-0.009443001
3/22/2022,0.001719668
3/27/2022,-0.011057217
4/1/2022,-0.001706914
4/6/2022,0.021400637
4/16/2022,-0.011753383
4/26/2022,0.008809005
5/1/2022,-0.0136008
5/6/2022,0.021661386
5/11/2022,0.019236741
5/16/2022,0.032047395
5/21/2022,0.012949719
5/26/2022,0.027880361
5/31/2022,0.024309315
10/3/2022,0.027831744
10/13/2022,-0.026990005
10/18/2022,-0.020427608
10/23/2022,-0.032630136
10/28/2022,-0.0229839
11/2/2022,-0.020938701
11/7/2022,-0.023930546
11/12/2022,-0.023607876
11/17/2022,-0.043815783
11/22/2022,-0.021072557
11/27/2022,-0.028151249
12/2/2022,-0.02534698
12/7/2022,-0.016846934
12/17/2022,-0.020258935
12/22/2022,-0.029169134
12/27/2022,-0.033045931
