,Date,Dissolved Oxygen Matter
0,02-01-2018,0.520072019
1,03-01-2018,0.425592746
2,06-01-2018,0.479395316
3,07-01-2018,0.418288863
4,10-01-2018,0.384030788
5,11-01-2018,0.389369497
6,14-01-2018,0.368758965
7,15-01-2018,0.430493985
8,18-01-2018,0.367185823
9,19-01-2018,0.434181326
10,22-01-2018,0.384163907
11,23-01-2018,0.433983928
12,25-01-2018,0.40752554
13,26-01-2018,0.415598501
14,29-01-2018,0.365422422
15,30-01-2018,0.42882514
16,02-02-2018,0.374718546
17,03-02-2018,0.433013293
18,06-02-2018,0.419426131
19,07-02-2018,0.530175163
20,10-02-2018,0.583363901
21,11-02-2018,0.436746874
22,14-02-2018,0.402365826
23,15-02-2018,0.434405257
24,18-02-2018,0.369987847
25,19-02-2018,0.468398174
26,21-02-2018,0.448759964
27,22-02-2018,0.441027877
28,25-02-2018,0.40955152
29,26-02-2018,0.445071883
30,01-03-2018,0.402600458
31,02-03-2018,0.460035441
32,05-03-2018,0.442542048
33,06-03-2018,0.478993317
34,09-03-2018,0.427998471
35,10-03-2018,0.455605306
36,13-03-2018,0.438290323
37,14-03-2018,0.51137741
38,17-03-2018,0.451521005
39,18-03-2018,0.505327504
40,20-03-2018,0.489915229
41,20-03-2018,0.597464241
42,23-03-2018,0.472088183
43,25-03-2018,0.457163534
44,29-03-2018,0.500783873
45,03-04-2018,0.497531317
46,05-04-2018,0.561633419
47,06-04-2018,0.532841758
48,09-04-2018,0.624131682
49,10-04-2018,0.533856977
50,13-04-2018,0.571724383
51,14-04-2018,0.51617784
52,16-04-2018,0.683193285
53,17-04-2018,0.540350929
54,21-04-2018,0.550586297
55,24-04-2018,0.533378332
56,25-04-2018,0.526418722
57,28-04-2018,0.569947597
58,29-04-2018,0.545766823
59,02-05-2018,0.577969112
60,03-05-2018,0.526549093
61,06-05-2018,0.639140186
62,07-05-2018,0.529569489
63,10-05-2018,0.603281633
64,11-05-2018,0.547560596
65,13-05-2018,0.67255105
66,14-05-2018,0.562305118
67,16-05-2018,0.602738854
68,18-05-2018,0.548753453
69,20-05-2018,0.605354181
70,21-05-2018,0.603060879
71,22-05-2018,0.54918915
72,25-05-2018,0.551229726
73,26-05-2018,0.522519994
74,29-05-2018,0.547172735
75,30-05-2018,0.572527545
76,01-06-2018,0.582251859
77,02-06-2018,0.532499471
