,pH
2018-12-18,7.762265249650202
2018-12-23,7.843140097443442
2018-12-28,7.96521068264336
2019-01-02,7.865016855123278
2019-01-07,7.958572051992817
2019-01-12,7.664913350568739
2019-01-17,7.639054801399957
2019-01-22,7.857212779269862
2019-01-27,8.093582293810849
2019-02-01,8.018352479851014
2019-02-06,7.922048545460611
2019-02-11,7.552093141883043
2019-02-16,8.163242152676625
2019-02-21,8.084133137486713
2019-02-26,8.280607085755655
2019-03-08,8.148718645102015
2019-03-13,8.23964956358968
2019-03-18,8.330375132271188
2019-03-23,8.314367091433752
2019-03-28,8.113733887381077
2019-04-02,7.967431795213785
2019-04-07,7.995849082893071
2019-04-12,7.956629568066181
2019-04-17,7.998880829594699
2019-04-22,7.198617775562668
2019-04-27,8.011528468995637
2019-05-02,7.911406695876921
2019-05-07,8.046332704097559
2019-05-12,7.941006327446201
2019-05-17,7.989812971567615
2019-05-22,7.977429126267435
2019-05-27,8.070477157903136
2019-06-01,7.936431938955989
2019-06-06,7.985210848469179
2019-06-11,7.916384235571994
2019-10-04,7.976215931735844
2019-10-09,6.97725512330285
2019-10-14,7.946104811766801
2019-11-23,7.965293692842677
2019-11-28,7.704900974870566
2019-12-03,7.799145873499099
2019-12-08,7.67436802535761
2019-12-13,7.850888469611386
2019-12-18,7.889103142473863
2019-12-23,8.044206333671697
2019-12-28,7.862464932894813
2020-01-12,7.970760149336065
2020-01-17,7.941403766326816
2020-02-01,7.96217676862896
2020-02-06,7.8289616103663136
2020-02-11,8.075716445753988
2020-02-16,7.8289722213158015
2020-02-21,8.044048649899556
2020-02-26,7.7565063494213975
2020-03-02,8.151438008116909
2020-03-07,8.030261039343088
2020-03-12,8.309579371445828
2020-03-17,8.322608715797253
2020-03-22,8.267496513568808
2020-04-01,8.329776201277847
2020-04-06,7.97948519744479
2020-04-11,7.823795483404907
2020-04-16,7.85819467504321
2020-04-21,7.96176040852642
2020-04-26,7.889902018542212
2020-05-01,7.951317886505862
2020-05-06,7.903350445843304
2020-05-11,7.955679062976704
2020-05-16,7.911036875870221
2020-05-21,7.952351677663774
2020-05-26,7.978651477191143
2020-05-31,8.04113182419737
2020-06-05,7.903294839443715
2020-06-10,7.866973470503718
2020-06-30,7.871300819071251
2020-09-28,7.975630636695151
2020-10-18,7.9989517364639156
2020-10-23,7.762302896355181
2020-10-28,7.969678061575582
2020-11-02,7.916078180186646
2020-11-07,8.039179888971129
2020-11-12,7.892031415793018
2020-11-17,7.866869363845734
2020-11-22,7.62860358670207
2020-11-27,7.913043105740985
2020-12-02,7.779793299755412
2020-12-07,7.972895325116809
2020-12-17,7.8969227236870365
2020-12-22,7.9804380509147155
2020-12-27,8.02799611751925
2021-01-01,7.806272785270839
2021-01-06,7.658572894055297
2021-01-16,7.759507905473594
2021-01-21,7.839772641764197
2021-01-26,7.9255043950340935
2021-01-31,8.25413919456697
2021-02-05,8.031955353360656
2021-02-10,7.649756994223993
2021-02-15,7.975948083431077
2021-02-20,7.966530733920571
2021-02-25,8.080830624971412
2021-03-02,7.835416487589736
2021-03-07,8.191580712489001
2021-03-17,8.098544282982697
2021-03-27,7.655803385565376
2021-04-01,7.915426879279682
2021-04-06,8.027715522250526
2021-04-11,7.816314810768151
2021-04-16,7.773579740423106
2021-04-26,7.821230853931511
2021-05-06,8.068003700219908
2021-05-11,7.850784547907408
2021-05-16,8.066605512541289
2021-05-21,7.848413060998936
2021-05-26,8.072760661979167
2021-07-05,7.985781205006587
2021-10-13,7.873659446273997
2021-10-23,7.929990206332209
2021-10-28,7.67188590620154
2021-11-02,8.006965596853142
2021-11-07,7.870394491416828
2021-11-12,7.332621507727641
2021-11-27,7.827898642287537
2021-12-07,7.867004512130304
2021-12-12,7.646137546851688
2021-12-22,7.8875139574035344
2021-12-27,7.809218488738566
2022-01-21,8.021046449096046
2022-01-26,7.981598653113792
2022-01-31,7.7005023640933405
2022-02-05,7.696836727997673
2022-02-10,7.781939888529987
2022-02-15,7.73813765092456
2022-02-20,7.345368624318657
2022-03-02,7.765836673483795
2022-03-12,7.80705179181924
2022-03-17,7.819453571901869
2022-03-22,7.871349383489492
2022-03-27,7.716292634099996
2022-04-01,7.770094463834278
2022-04-06,7.79911408000105
2022-04-16,7.7377291600519
2022-04-26,7.779212331879165
2022-05-01,7.729461085115173
2022-05-06,7.705190069760495
2022-05-11,7.885447123941473
2022-05-16,7.889940955066959
2022-05-21,7.8402511929189584
2022-05-26,7.844112799463717
2022-05-31,7.878181289833313
2022-10-03,7.802511028190601
2022-10-13,7.753629511835452
2022-10-18,7.783502907500387
2022-10-23,7.72183586312471
2022-10-28,7.766759315119851
2022-11-02,7.743802840041356
2022-11-07,7.748871290900703
2022-11-12,7.720249614390362
2022-11-17,7.609449135271944
2022-11-22,7.771131981965785
2022-11-27,7.704450801419787
2022-12-02,7.700643691779364
2022-12-07,7.770612476593091
2022-12-17,7.783131585985528
2022-12-22,7.715950492678351
2022-12-27,7.714070974105607
