date,Temperature,date,pH,Turbidity,Salinty,Chlorophyll,,date,dom,Suspended Matter
07/01/2016,17.18429068,18/12/2018,7.76226525,-0.012822407,0.078671787,0.064064749,,01/01/2019,0.584318709,0.584318709
14/01/2016,22.51192128,23/12/2018,7.843140097,-0.124982598,0.222539839,0.118366539,,02/01/2019,0.558318579,0.558318579
23/01/2016,23.43668558,28/12/2018,7.965210683,-0.132007385,0.157764224,0.177255338,,03/01/2019,0.53754287,0.53754287
30/01/2016,23.51544226,02/01/2019,7.865016855,-0.115318435,0.197524388,0.125160212,,04/01/2019,0.496670903,0.496670903
08/02/2016,20.71977825,07/01/2019,7.958572052,-0.135276089,0.167815446,0.168860334,,05/01/2019,0.532147396,0.532147396
15/02/2016,27.51296209,12/01/2019,7.664913351,-0.070967937,0.238920634,0.068772701,,06/01/2019,0.558104001,0.558104001
24/02/2016,25.7260576,17/01/2019,7.639054801,-0.058305926,0.14334817,0.074767263,,07/01/2019,0.546565156,0.546565156
02/03/2016,23.01607277,22/01/2019,7.857212779,-0.13899838,0.180040788,0.175758224,,08/01/2019,0.569273958,0.569273958
11/03/2016,29.65280665,27/01/2019,8.093582294,-0.082542847,0.165903742,0.179873197,,09/01/2019,0.534470602,0.534470602
18/03/2016,31.52350515,01/02/2019,8.01835248,-0.139130035,0.194846266,0.211726106,,10/01/2019,0.530862016,0.530862016
27/03/2016,35.18909969,06/02/2019,7.922048545,-0.115641236,0.146298371,0.144903925,,11/01/2019,0.556057975,0.556057975
03/04/2016,35.55516802,11/02/2019,7.552093142,-0.063638927,0.222346388,0.070474172,,11/01/2019,0.525000117,0.525000117
12/04/2016,34.27804868,16/02/2019,8.163242153,-0.153932829,0.14458752,0.309256947,,12/01/2019,0.543693,0.543693
19/04/2016,-2.577496173,21/02/2019,8.084133137,-0.134527185,0.187766835,0.258707485,,14/01/2019,0.570157924,0.570157924
28/04/2016,40.20047295,26/02/2019,8.280607086,-0.201194535,0.160608557,0.349139859,,15/01/2019,0.543469681,0.543469681
14/05/2016,-3.609137029,08/03/2019,8.148718645,0.008967795,0.169935329,0.272194119,,15/01/2019,0.542047411,0.542047411
21/05/2016,39.68392851,13/03/2019,8.239649564,-0.03686704,0.161784589,0.374750871,,16/01/2019,0.519895754,0.519895754
30/05/2016,42.4508553,18/03/2019,8.330375132,-0.088220473,0.135520786,0.726645548,,18/01/2019,0.561086629,0.561086629
06/06/2016,39.81130592,23/03/2019,8.314367091,0.005871349,0.157071156,0.683100033,,19/01/2019,0.534118312,0.534118312
15/06/2016,42.89715255,28/03/2019,8.113733887,-0.076364291,0.160785449,0.245986039,,19/01/2019,0.520825111,0.520825111
01/07/2016,33.05975565,02/04/2019,7.967431795,-0.030377064,0.156939335,0.216194282,,20/01/2019,0.527079326,0.527079326
25/08/2016,40.38767701,07/04/2019,7.995849083,-0.04379472,0.143648369,0.193230964,,22/01/2019,0.567790055,0.567790055
10/09/2016,-123.1485201,12/04/2019,7.956629568,-0.022872183,0.155553237,0.174041123,,23/01/2019,0.52581598,0.52581598
19/09/2016,-2.149934192,17/04/2019,7.99888083,-0.042553823,0.136131072,0.18522419,,23/01/2019,0.532147396,0.532147396
26/09/2016,32.12577321,22/04/2019,7.198617776,-0.04582899,-0.105677336,0.159890873,,24/01/2019,0.550859083,0.550859083
05/10/2016,30.8848162,27/04/2019,8.011528469,-0.103369762,0.147783524,0.245664392,,25/01/2019,,
12/10/2016,35.72740714,02/05/2019,7.911406696,-0.070430684,0.179453716,0.188839989,,26/01/2019,0.619143892,0.619143892
21/10/2016,35.37390064,07/05/2019,8.046332704,-0.056448961,0.154253842,0.20219286,,27/01/2019,0.529782296,0.529782296
28/10/2016,31.87733325,12/05/2019,7.941006327,-0.049529092,0.167929128,0.167915309,,28/01/2019,0.533022433,0.533022433
06/11/2016,32.99234228,17/05/2019,7.989812972,-0.01733152,0.137861555,0.135141,,29/01/2019,0.573884447,0.573884447
13/11/2016,28.72373225,22/05/2019,7.977429126,-0.033685129,0.17739002,0.196550172,,30/01/2019,0.549786716,0.549786716
22/11/2016,29.39980367,27/05/2019,8.070477158,-0.102521698,0.157685621,0.317064237,,31/01/2019,0.532718125,0.532718125
29/11/2016,26.74203213,01/06/2019,7.936431939,-0.056392315,0.168896094,0.201840236,,01/02/2019,0.604310184,0.604310184
08/12/2016,27.72301356,06/06/2019,7.985210848,-0.046166662,0.131460576,0.179125462,,02/02/2019,0.582908755,0.582908755
15/12/2016,26.44610593,11/06/2019,7.916384236,-0.025174712,0.157661559,0.156894174,,03/02/2019,0.554090087,0.554090087
