DATE,Salinty,Dissolved Oxygen,Chlorophyll,Turbidity,pH,,DATE-Temp,Temperature,,Date -DOM,Dissolved Organic Matter,,,Suspended Matter
12/18/2018,0.060753888,7.394122079,0.052721545,-0.021873659,7.662760963,,1/7/2016,18.15149124,,1-Feb-18,0.613376765,,1/2/2018,0.644285736
12/23/2018,0.215919488,-0.63581688,0.228093285,-0.123111137,7.820192318,,1/14/2016,25.20130345,,1-Mar-18,0.553823407,,1/3/2018,0.622272785
12/28/2018,0.162065657,3.252477182,0.259699782,-0.160458509,7.873314938,,1/23/2016,23.75843448,,1-Jun-18,0.427557129,,1/6/2018,0.538131251
1/2/2019,0.172895429,5.757706063,0.234110191,-0.121576328,7.701344583,,1/30/2016,25.48244861,,1-Jul-18,0.584260779,,1/7/2018,0.649144341
1/7/2019,0.133759677,6.268408655,0.243435318,-0.134198021,7.92284017,,2/8/2016,23.3699079,,1-Oct-18,0.509682865,,1/10/2018,0.599350287
1/12/2019,0.217370196,3.055587532,0.080726206,-0.056045669,7.624237767,,2/15/2016,30.24818831,,1-Nov-18,0.625509889,,1/11/2018,0.668438549
1/17/2019,0.115537161,9.472317274,0.076677623,-0.061590578,7.577218067,,2/24/2016,27.97471953,,14-01-2018,0.532958079,,1/14/2018,0.618138008
1/22/2019,0.141334016,8.006072232,0.205128951,-0.143367314,7.723695566,,3/2/2016,25.128153,,15-01-2018,0.570673319,,1/15/2018,0.638576875
1/27/2019,0.111771004,9.578845511,0.256979028,-0.142733737,8.048708096,,3/11/2016,32.1236456,,18-01-2018,0.505731436,,1/18/2018,0.602938534
2/1/2019,0.159557342,8.191844903,0.237028515,-0.164954673,7.743081658,,3/18/2016,34.51681425,,19-01-2018,0.556269841,,1/19/2018,0.613634521
2/6/2019,0.120449645,7.891787847,0.177905693,-0.102161174,7.819461289,,3/27/2016,38.18751325,,22-01-2018,0.510723471,,1/22/2018,0.600570919
2/11/2019,0.193019745,3.772297501,0.091705413,-0.072765229,7.575649134,,4/3/2016,37.7376013,,23-01-2018,0.528796912,,1/23/2018,0.593475307
2/16/2019,0.13221035,6.045322277,0.36814687,-0.215249034,8.064863817,,4/12/2016,36.1660419,,25-01-2018,0.467154129,,1/25/2018,0.583809471
2/21/2019,0.176527593,8.439552229,0.265320597,-0.151319903,7.794928085,,4/19/2016,-2.425343906,,26-01-2018,0.572351852,,1/26/2018,0.630057129
2/26/2019,0.098786593,10.81248754,0.410977208,-0.247657466,8.032982347,,4/28/2016,42.84635384,,29-01-2018,0.553380188,,1/29/2018,0.619226061
3/8/2019,0.121920616,9.348904595,0.269979509,-0.101174018,7.987318137,,5/5/2016,43.44319115,,30-01-2018,0.612792647,,1/30/2018,0.659118735
3/13/2019,0.119449399,11.12295019,0.335220165,-0.15294382,7.979790373,,5/14/2016,10.74894838,,2-Feb-18,0.551645568,,2/2/2018,0.624288957
