,Temperature
2016-01-07,18.151491241975496
2016-01-14,25.2013034527256
2016-01-23,23.758434476773132
2016-01-30,25.48244860727071
2016-02-08,23.369907902220596
2016-02-15,30.248188308685506
2016-02-24,27.974719530538437
2016-03-02,25.128153001674722
2016-03-11,32.123645601971795
2016-03-18,34.516814252822144
2016-03-27,38.187513253427426
2016-04-03,37.73760129889344
2016-04-12,36.16604190264391
2016-04-19,-2.425343906108411
2016-04-28,42.846353839922045
2016-05-05,43.44319115472337
2016-05-14,10.74894837871521
2016-05-21,42.0187824059859
2016-05-30,44.44310225396586
2016-06-06,42.94760173536578
2016-06-15,45.571954445228386
2016-07-01,16.07841705452657
2016-08-25,43.43152508311921
2016-09-10,-123.14852013999999
2016-09-19,9.293673373616796
2016-09-26,37.154205699951746
2016-10-05,41.27565116981436
2016-10-12,38.25367599222057
2016-10-21,-4.199714495388024
2016-10-28,35.28372757207948
2016-11-06,36.66996948850355
2016-11-13,31.24521319274788
2016-11-22,31.455618787066495
2016-11-29,30.111043587898287
2016-12-08,30.657164618937994
2016-12-15,29.828444537359843
2016-12-24,25.792682470085428
2016-12-31,26.555205543824755
2017-01-09,27.40585273773861
2017-01-16,26.034204992487947
2017-01-25,22.880036336594888
2017-02-01,22.82318018215004
2017-02-10,28.62106038565172
2017-02-17,27.55396863003715
2017-02-26,24.419703308949153
2017-03-05,29.384100033523964
2017-03-14,32.65932218942445
2017-03-21,31.461971887367266
2017-03-30,31.850438808395857
2017-04-06,37.24843161409212
2017-04-15,41.90719160486819
2017-04-22,40.160735057125905
2017-05-01,42.65804543394357
2017-05-08,41.6853871105793
2017-05-17,43.25567347524324
2017-05-24,43.00288278293354
2017-06-02,45.12631914067214
2017-06-09,47.061359515982204
2017-06-18,43.61416450048648
2017-06-25,33.576432928199054
2017-07-11,-23.694776140233923
2017-08-21,23.002796308154494
2017-09-06,18.00602485459713
2017-09-22,31.287730290026005
2017-09-29,37.18680762001487
2017-10-08,-100.42548193022277
2017-10-15,40.21496328345713
2017-10-24,39.86543424826961
2017-10-31,36.701428472432255
2017-11-09,35.57928476416637
2017-11-16,32.257982164849636
2017-11-25,31.497394022966965
2017-12-02,28.501115552733033
2017-12-11,27.836108856130732
2017-12-18,25.661649697055342
2017-12-27,26.66251652190496
