date,Suspended Matter,Dissolved Organic Matter,Chlorophyl,Turbidity,Salinity,Dissolved Oxygen,pH,Temperature,Year,Month
29-Apr-16,0.556776547,0.5193128,,,,,,,2016,04
30-Apr-16,0.545021752,0.509203232,,,,,,,2016,04
03-May-16,0.53824374,,,,,,,,2016,05
04-May-16,0.582779805,,,,,,,,2016,05
07-May-16,0.547477383,0.591908424,,,,,,,2016,05
08-May-16,0.556988234,,,,,,,,2016,05
12-May-16,0.541444793,0.327873617,,,,,,,2016,05
14-May-16,0.538017522,0.460732158,,,,,,12.87095527,2016,05
15-May-16,0.627179753,0.635205667,,,,,,,2016,05
18-May-16,0.542755276,0.519313777,,,,,,,2016,05
19-May-16,0.616769085,0.60484165,,,,,,,2016,05
22-May-16,0.593666809,0.549176419,,,,,,,2016,05
23-May-16,0.589927513,0.578891845,,,,,,,2016,05
26-May-16,0.550329449,0.511182372,,,,,,,2016,05
27-May-16,0.579007148,0.572715433,,,,,,,2016,05
30-May-16,0.541755304,0.501463541,,,,,,39.0402224,2016,05
31-May-16,0.579944681,0.559851586,,,,,,,2016,05
03-Jun-16,0.558725236,,,,,,,,2016,06
04-Jun-16,0.589232575,,,,,,,,2016,06
07-Jun-16,0.568391366,,,,,,,,2016,06
08-Jun-16,0.557534158,,,,,,,,2016,06
10-Jun-16,0.569292072,,,,,,,,2016,06
11-Jun-16,0.607735309,,,,,,,29.09223819,2016,06
14-Jun-16,0.595148256,0.570882674,,,,,,,2016,06
15-Jun-16,0.600372196,0.58199417,,,,,,36.59884415,2016,06
18-Jun-16,0.0,0.0,,,,,,,2016,06
19-Jun-16,0.631167584,0.592380903,,,,,,,2016,06
22-Jun-16,0.599586217,0.536982475,,,,,,,2016,06
23-Jun-16,0.582172699,0.542153962,,,,,,,2016,06
26-Jun-16,0.538117256,0.481873879,,,,,,,2016,06
27-Jun-16,0.566842561,0.524958363,,,,,,,2016,06
30-Jun-16,0.589774451,0.530409835,,,,,,,2016,06
01-Jul-16,0.516570476,,,,,,,18.61437443,2016,07
04-Jul-16,0.552061516,,,,,,,,2016,07
05-Jul-16,0.631058926,0.490789432,,,,,,,2016,07
07-Jul-16,0.63160237,0.581118039,,,,,,,2016,07
08-Jul-16,0.600542895,0.593105226,,,,,,,2016,07
11-Jul-16,0.624785477,,,,,,,,2016,07
12-Jul-16,0.597559147,,,,,,,,2016,07
15-Jul-16,0.624780977,0.583496337,,,,,,,2016,07
16-Jul-16,0.62639771,0.585716183,,,,,,,2016,07
