ndwi,mndwi,ndci,ndti,do,ndsi,ph,chl_a,ssc,wst,date
,,,,,,,,,,01-12-2018
,,,,,,,,,,02-12-2018
,,,,,,,,,,03-12-2018
,,,,,,,,,,04-12-2018
,,,,,,,,,,05-12-2018
,,,,,,,,,,06-12-2018
,,,,,,,,,,07-12-2018
,,,,,,,,,,08-12-2018
,,,,,,,,,,09-12-2018
,,,,,,,,,,10-12-2018
,,,,,,,,,,11-12-2018
,,,,,,,,,,12-12-2018
,,,,,,,,,,13-12-2018
,,,,,,,,,,14-12-2018
,,,,,,,,,,15-12-2018
,,,,,,,,,,16-12-2018
,,,,,,,,,,17-12-2018
0.023494024,-0.049433306,-0.207145071,,,,,,,,18-12-2018
,,,,,,,,,,19-12-2018
,,,,,,,,,,20-12-2018
,,,,,,,,,,21-12-2018
,,,,,,,,,,22-12-2018
-0.000428336,-0.081015735,-0.286413389,,,,,,,,23-12-2018
,,,,,,,,,,24-12-2018
,,,,,,,,,,25-12-2018
,,,,,,,,,,26-12-2018
,,,,,,,,,,27-12-2018
0.031079349,-0.053102631,-0.264141027,,,,,,,,28-12-2018
,,,,,,,,,,29-12-2018
,,,,,,,,,,30-12-2018
,,,,,,,,,,01-01-2019
0.042142267,-0.042335638,-0.26022186,,,,,,,,02-01-2019
,,,,,,,,,,03-01-2019
,,,,,,,,,,04-01-2019
,,,,,,,,,,05-01-2019
,,,,,,,,,,06-01-2019
0.019837501,0.005061307,-0.076387578,,,,,,,,07-01-2019
,,,,,,,,,,08-01-2019
,,,,,,,,,,09-01-2019
,,,,,,,,,,10-01-2019
,,,,,,,,,,11-01-2019
0.069500274,0.00434643,-0.085744649,,,,,,,,12-01-2019
,,,,,,,,,,13-01-2019
,,,,,,,,,,14-01-2019
,,,,,,,,,,15-01-2019
,,,,,,,,,,16-01-2019
0.054968492,-0.052224676,-0.227882168,,,,,,,,17-01-2019
,,,,,,,,,,18-01-2019
,,,,,,,,,,19-01-2019
,,,,,,,,,,20-01-2019
