Dates,Suspended Matter
2018-08-01,0.5882156566
2018-08-02,0.6008699626
2018-08-02,0.6111496704
2018-08-03,0.5952538203
2018-08-03,0.5791297786
2018-08-06,0.6120669682
2018-08-06,0.6293667088
2018-08-07,0.6278598591
2018-08-07,0.6342030609
2018-08-10,0.6316289566
2018-08-10,0.6195238129
2018-08-11,0.6386651008
2018-08-11,0.6171006839
2018-08-14,0.5649084358
2018-08-14,0.6346062625
2018-08-15,0.5872474109
2018-08-15,0.6040704368
2018-08-18,0.6093264782
2018-08-18,0.6337713023
2018-08-19,0.6489772699
2018-08-19,0.6262361012
2018-08-22,0.6221270189
2018-08-22,0.6307424229
2018-08-23,0.6334238976
2018-08-23,0.627013443
2018-08-26,0.6263712375
2018-08-26,0.6367077142
2018-08-27,0.6308927064
2018-08-27,0.625935141
2018-08-29,0.6314215001
2018-08-29,0.6302062471
2018-08-29,0.6310893741
2018-08-30,0.6343661241
2018-09-02,0.6472207379
2018-09-02,0.6520314239
2018-09-03,0.6332426704
2018-09-03,0.6348965904
2018-09-06,0.5972101926
2018-09-06,0.6175722392
2018-09-07,0.6239951417
2018-09-07,0.6259115873
2018-09-10,0.6403506998
2018-09-10,0.6388175654
2018-09-11,0.5923031885
2018-09-11,0.5965954798
2018-09-14,0.5829305516
2018-09-14,0.5621311734
2018-09-15,0.6034633473
2018-09-15,0.5621077642
2018-09-18,0.5685980719
2018-09-18,0.58464089
2018-09-19,0.5900430617
2018-09-19,0.5425816586
2018-09-22,0.5761808756
2018-09-22,0.586876631
2018-09-23,0.6249929527
2018-09-23,0.6299496029
2018-09-25,0.6389018313
2018-09-25,0.6433679128
2018-09-26,0.5657529062
2018-09-26,0.551299488
2018-09-29,0.5851461367
2018-09-29,0.5781809227
2018-09-30,0.5360778521
2018-09-30,0.521268479
2018-10-03,0.588549364
2018-10-03,0.5789073216
2018-10-04,0.5171958862
2018-10-04,0.5444893268
2018-10-07,0.5548887376
2018-10-07,0.5695548864
2018-10-08,0.592039464
2018-10-08,0.5433801369
2018-10-11,0.5963070111
2018-10-11,0.5693381182
2018-10-12,0.6077968899
2018-10-12,0.5811000097
2018-10-15,0.5930920731
2018-10-15,0.5777537657
2018-10-16,0.5562047121
2018-10-16,0.6087976866
2018-10-19,0.5844743539
2018-10-19,0.5774509615
2018-10-20,0.5566287531
2018-10-20,0.5724836343
2018-10-22,0.5664929538
2018-10-23,0.5701937286
2018-10-23,0.5673827096
2018-10-26,0.5797283255
2018-10-26,0.5982874545
2018-10-27,0.5895527675
2018-10-27,0.5640825635
2018-10-30,0.5819479511
2018-10-30,0.602455892
2018-10-31,0.5816107697
2018-10-31,0.5641826687
2018-11-02,0.5796737681
2018-11-03,0.5635892346
2018-11-04,0.5495775112
2018-11-06,0.5601928896
2018-11-07,0.6045230872
2018-11-07,0.5692794984
2018-11-08,0.5706173921
2018-11-10,0.5764930123
2018-11-11,0.5321473959
2018-11-11,0.5812868282
2018-11-12,0.6012643186
2018-11-13,0.5859466142
2018-11-15,0.5870674932
2018-11-16,0.6131928327
2018-11-17,0.5977097981
2018-11-18,0.543469681
2018-11-18,0.5697667559
2018-11-19,0.5807206877
2018-11-21,0.6020253368
2018-11-22,0.5656856301
2018-11-22,0.5361248008
2018-11-23,0.5721469028
2018-11-25,0.577221108
2018-11-26,0.5707140451
2018-11-26,0.5403514976
2018-11-27,0.573662441
2018-11-29,0.5981493021
2018-11-30,0.5751830449
2018-11-30,0.594239746
2018-12-01,0.544969675
2018-12-03,0.5692166132
2018-12-04,0.5747612575
2018-12-05,0.5989712223
2018-12-06,0.5853019038
2018-12-07,0.5620950849
2018-12-08,0.5631189375
2018-12-09,0.5934249749
2018-12-10,0.5801867494
2018-12-11,0.5781986129
2018-12-12,0.5573470885
2018-12-13,0.5887927709
2018-12-14,0.5950895611
2018-12-15,0.567623889
2018-12-15,0.5958395954
2018-12-16,0.567623889
2018-12-18,0.5803117856
2018-12-19,0.5691236241
2018-12-19,0.546669937
2018-12-20,0.5800468422
2018-12-22,0.594265949
2018-12-23,0.5301757328
2018-12-23,0.5767031154
2018-12-24,0.6046860976
2018-12-26,0.5892398093
2018-12-27,0.5971345196
2018-12-27,0.590441816
2018-12-28,0.5488297945
2018-12-30,0.6025635373
