Dates,Suspended Matter
2020-08-01,0.5343250825
2020-08-03,0.4843905784
2020-08-04,0.603061829
2020-08-04,0.6195297136
2020-08-05,0.617986711
2020-08-07,0.626215519
2020-08-08,0.6278232546
2020-08-08,0.6095110466
2020-08-09,0.6265177173
2020-08-11,0.6280588933
2020-08-12,0.6309508779
2020-08-12,0.6206644416
2020-08-13,0.6233888557
2020-08-15,0.6309171778
2020-08-16,0.6295372789
2020-08-17,0.6283002152
2020-08-18,0.6200556516
2020-08-19,0.6236819118
2020-08-20,0.627328231
2020-08-21,0.6320398678
2020-08-22,0.6245930003
2020-08-23,0.6278143435
2020-08-24,0.6460473796
2020-08-25,0.6222449507
2020-08-26,0.6263785897
2020-08-27,0.6093384772
2020-08-27,0.5931602748
2020-08-28,0.6262349758
2020-08-30,0.6230722319
2020-08-31,0.5772744895
2020-08-31,0.6214623087
2020-09-01,0.5428828609
2020-09-03,0.5878234931
2020-09-04,0.5866191766
2020-09-04,0.5543999552
2020-09-05,0.549313441
2020-09-07,0.5660294399
2020-09-08,0.567530934
2020-09-08,0.5722302748
2020-09-09,0.5321473959
2020-09-11,0.5792970458
2020-09-12,0.5858533157
2020-09-13,0.5660294399
2020-09-14,0.5760350541
2020-09-15,0.5217131333
2020-09-16,0.5531193884
2020-09-17,0.5321473959
2020-09-18,0.5702589362
2020-09-19,0.5865829216
2020-09-20,0.5600425102
2020-09-21,0.5599141591
2020-09-22,0.6033691434
2020-09-23,0.5853815287
2020-09-23,0.5752817162
2020-09-24,0.615415506
2020-09-26,0.6289461374
2020-09-27,0.6211566551
2020-09-27,0.5418008473
2020-09-28,0.5876836191
2020-09-30,0.5654066082
2020-10-01,0.5624173622
2020-10-01,0.5186719483
2020-10-02,0.5351641265
2020-10-04,0.5734329054
2020-10-05,0.5749638531
2020-10-05,0.5713097584
2020-10-06,0.5788269921
2020-10-08,0.5871971266
2020-10-09,0.5913804692
2020-10-10,0.624954072
2020-10-11,0.6270076312
2020-10-12,0.549313441
2020-10-13,0.5686615258
2020-10-14,0.5678065614
2020-10-15,0.5752944821
2020-10-16,0.6194308313
2020-10-17,0.5770793816
2020-10-18,0.5828264955
2020-10-19,0.5797378135
2020-10-20,0.5869780232
2020-10-20,0.5529592413
2020-10-21,0.5504044583
2020-10-23,0.542112703
2020-10-24,0.546685739
2020-10-24,0.5316628312
2020-10-25,0.545792201
2020-10-27,0.586712088
2020-10-28,0.5529839243
2020-10-28,0.5878904716
2020-10-29,0.5531999315
2020-10-31,0.5692138569
2020-11-01,0.5530159213
2020-11-01,0.5733857631
2020-11-02,0.5432338
2020-11-04,0.5929670676
2020-11-05,0.5664488223
2020-11-06,0.5928274
2020-11-07,0.6065335911
2020-11-08,0.5522622655
2020-11-09,0.579615943
2020-11-10,0.5757173471
2020-11-11,0.5664696981
2020-11-12,0.5894874947
2020-11-13,0.56260455
2020-11-14,0.583076445
2020-11-15,0.5843187093
2020-11-16,0.5499674477
2020-11-16,0.611163177
2020-11-17,0.5689238955
2020-11-19,0.5953011789
2020-11-20,0.5500829649
2020-11-20,0.5580845318
2020-11-21,0.5684789706
2020-11-23,0.5568462202
2020-11-24,0.5431348728
2020-11-24,0.5676512207
2020-11-25,0.5209286022
2020-11-26,0.5056929467
2020-11-28,0.5176829683
2020-11-28,0.5271584136
2020-11-29,0.5240370121
2020-12-01,0.5535333537
2020-12-02,0.5169431846
2020-12-03,0.5450948816
2020-12-04,0.5522405035
2020-12-05,0.539859677
2020-12-06,0.5201440712
2020-12-07,0.5349125774
2020-12-08,0.5463342351
2020-12-09,0.549467808
2020-12-09,0.5086646719
2020-12-11,0.5398021343
2020-12-12,0.5422065304
2020-12-13,0.5727608886
2020-12-13,0.5877221598
2020-12-14,0.5885223175
2020-12-15,0.5777214072
2020-12-16,0.5899460063
2020-12-17,0.557205483
2020-12-18,0.5076545626
2020-12-19,0.4866417177
2020-12-21,0.5176273374
2020-12-21,0.5027993958
2020-12-22,0.5353600553
2020-12-23,0.5177354469
2020-12-25,0.5196496853
2020-12-25,0.5246095056
2020-12-26,0.5182014642
2020-12-28,0.5260307592
2020-12-29,0.5029115857
2020-12-30,0.5354070684
