Dates,Suspended Matter
2021-08-01,0.4992987913
2021-08-02,0.4899043747
2021-08-03,0.5879693287
2021-08-04,0.5874409928
2021-08-05,0.5864941018
2021-08-06,0.5855323254
2021-08-07,0.5856899471
2021-08-08,0.5825706995
2021-08-09,0.5927581811
2021-08-09,0.5813728492
2021-08-11,0.589627545
2021-08-12,0.5940406582
2021-08-13,0.5746605488
2021-08-13,0.5551938834
2021-08-14,0.6477721589
2021-08-15,0.5817808612
2021-08-16,0.5375674157
2021-08-17,0.5476471132
2021-08-18,0.5709236116
2021-08-19,0.5624472104
2021-08-21,0.5927909738
2021-08-21,0.5696849048
2021-08-22,0.5796704216
2021-08-23,0.5959082417
2021-08-25,0.5781959079
2021-08-25,0.5982759515
2021-08-26,0.6037528233
2021-08-28,0.5988676028
2021-08-29,0.5883198392
2021-08-30,0.5617511413
2021-08-31,0.5833154148
2021-09-01,0.5925103451
2021-09-02,0.581362231
2021-09-03,0.4944987449
2021-09-04,0.5929354078
2021-09-05,0.5603835171
2021-09-05,0.5703114417
2021-09-07,0.5728235079
2021-09-08,0.5894885554
2021-09-09,0.5900471675
2021-09-09,0.541939178
2021-09-10,0.585442305
2021-09-11,0.5866724296
2021-09-12,0.5818854927
2021-09-13,0.5800129474
2021-09-14,0.6043118691
2021-09-15,0.5473516073
2021-09-17,0.5693758146
2021-09-17,0.5478995068
2021-09-18,0.5753898875
2021-09-19,0.5642935063
2021-09-21,0.5889044503
2021-09-24,0.457021606
2021-09-25,0.5879205947
2021-09-26,0.5709002682
2021-09-27,0.5683939747
2021-09-28,0.5073244261
2021-09-29,0.5832299741
2021-09-30,0.6176260704
2021-10-01,0.5978787748
2021-10-02,0.5732391204
2021-10-02,0.5345371999
2021-10-04,0.5899244246
2021-10-05,0.601886074
2021-10-06,0.5004052706
2021-10-06,0.5620950849
2021-10-07,0.5428822662
2021-10-08,0.5410165192
2021-10-09,0.5516387596
2021-10-10,0.5350553052
2021-10-11,0.5492343845
2021-10-14,0.539101845
2021-10-16,0.5310408651
2021-10-19,0.5474629934
2021-10-23,0.5185882442
2021-10-24,0.5378077801
2021-10-25,0.5592223358
2021-10-26,0.5097886547
2021-10-29,0.535253014
2021-10-29,0.5220861676
2021-10-31,0.5460506083
2021-11-01,0.54059418
2021-11-02,0.5553771748
2021-11-02,0.4945541342
2021-11-03,0.5451063721
2021-11-04,0.5359527292
2021-11-05,0.5368553951
2021-11-06,0.5390160782
2021-11-07,0.5326926342
2021-11-08,0.5306422321
2021-11-10,0.5226226082
2021-11-10,0.5179845864
2021-11-11,0.5236375762
2021-11-12,0.4957625614
2021-11-14,0.5144368554
2021-11-14,0.4943881966
2021-11-15,0.5335368895
2021-11-17,0.5455013399
2021-11-18,0.505123033
2021-11-19,0.5998087487
2021-11-20,0.510515388
2021-11-21,0.5299995687
2021-11-22,0.530885624
2021-11-23,0.5280924007
2021-11-24,0.5041396383
2021-11-25,0.5467265183
2021-11-25,0.4976427817
2021-11-27,0.5554672626
2021-11-28,0.5248904931
2021-11-29,0.5047057763
2021-11-29,0.5446072115
2021-11-30,0.541741601
2021-12-01,0.5460101044
2021-12-02,0.525772944
2021-12-03,0.5825814962
2021-12-04,0.5320280293
2021-12-05,0.4950539602
2021-12-07,0.5008446079
2021-12-07,0.5077727904
2021-12-08,0.5210805192
2021-12-09,0.4706782248
2021-12-11,0.5036567916
2021-12-11,0.4938119914
2021-12-12,0.5248997175
2021-12-14,0.5400898944
2021-12-15,0.498067871
2021-12-16,0.5430075469
2021-12-17,0.5272001913
2021-12-18,0.5317869294
2021-12-19,0.4862199571
2021-12-20,0.5560704008
2021-12-21,0.5013499442
2021-12-22,0.5502896386
2021-12-22,0.5177650339
2021-12-24,0.5402496076
2021-12-25,0.5375514525
2021-12-26,0.5453325865
2021-12-26,0.5030343411
2021-12-27,0.5350553052
2021-12-28,0.5067731663
2021-12-29,0.5047283955
2021-12-30,0.4932989163
