Dates,Suspended Matter
2019-08-01,0.5874117454
2019-08-02,0.5544417016
2019-08-03,0.6232072674
2019-08-04,0.6277836055
2019-08-05,0.621447547
2019-08-06,0.6294338412
2019-08-07,0.6230018294
2019-08-08,0.6119126982
2019-08-09,0.619211395
2019-08-10,0.6225552331
2019-08-11,0.6432684686
2019-08-12,0.6214692965
2019-08-13,0.6379073707
2019-08-14,0.6095279101
2019-08-15,0.6256706485
2019-08-15,0.6270977363
2019-08-16,0.6260021632
2019-08-18,0.6263498383
2019-08-19,0.6251999899
2019-08-19,0.6156238008
2019-08-20,0.6346661423
2019-08-22,0.6037347
2019-08-23,0.6157313004
2019-08-23,0.624675145
2019-08-24,0.6230385735
2019-08-26,0.6361034289
2019-08-27,0.6549331636
2019-08-27,0.6289752144
2019-08-28,0.6274753875
2019-08-30,0.5252363908
2019-08-31,0.6298440299
2019-09-01,0.5772657739
2019-09-02,0.6237906551
2019-09-03,0.6078749349
2019-09-04,0.6072033819
2019-09-05,0.6148355029
2019-09-06,0.6334271528
2019-09-07,0.6059768545
2019-09-08,0.5929559038
2019-09-09,0.625766806
2019-09-10,0.6358063686
2019-09-11,0.6287887365
2019-09-11,0.6327146626
2019-09-12,0.6259630109
2019-09-14,0.6255065882
2019-09-15,0.6244802493
2019-09-15,0.6183904789
2019-09-16,0.6338387138
2019-09-18,0.6270040374
2019-09-19,0.6234506909
2019-09-19,0.5862645088
2019-09-20,0.5590235271
2019-09-22,0.5712448079
2019-09-23,0.5799893467
2019-09-23,0.6494053536
2019-09-24,0.5167152608
2019-09-26,0.6205800536
2019-09-27,0.6403566723
2019-09-28,0.6247538348
2019-09-29,0.609812151
2019-09-30,0.6350600085
2019-10-01,0.631268188
2019-10-02,0.5889175462
2019-10-03,0.5784733955
2019-10-04,0.5647813965
2019-10-05,0.6496430539
2019-10-06,0.6079592103
2019-10-07,0.5738332817
2019-10-08,0.5564336004
2019-10-08,0.6193458207
2019-10-09,0.5422112219
2019-10-11,0.5589540412
2019-10-12,0.5024050959
2019-10-12,0.5546127559
2019-10-13,0.5339968552
2019-10-15,0.559000087
2019-10-16,0.5611651147
2019-10-16,0.5256226132
2019-10-17,0.545792201
2019-10-19,0.5683067637
2019-10-20,0.6222090671
2019-10-20,0.5547190199
2019-10-21,0.6305779741
2019-10-23,0.6138272774
2019-10-24,0.6131505233
2019-10-25,0.5874609168
2019-10-26,0.624192908
2019-10-27,0.6074282779
2019-10-28,0.5550627881
2019-10-29,0.6063130999
2019-10-30,0.6277713186
2019-10-31,0.5847502243
2019-11-01,0.6263847817
2019-11-02,0.5726339852
2019-11-03,0.5497751926
2019-11-04,0.6225275244
2019-11-04,0.6084806761
2019-11-05,0.5451950496
2019-11-07,0.5624477574
2019-11-08,0.5226992748
2019-11-08,0.537743609
2019-11-09,0.5736468133
2019-11-11,0.585558016
2019-11-12,0.5392393074
2019-11-12,0.5509151596
2019-11-13,0.5548580889
2019-11-15,0.5428561023
2019-11-16,0.5477072613
2019-11-16,0.5301642379
2019-11-17,0.5256781416
2019-11-19,0.5657893961
2019-11-20,0.5495825384
2019-11-21,0.5771216424
2019-11-22,0.5726331861
2019-11-23,0.5294717066
2019-11-24,0.557928998
2019-11-25,0.6203509313
2019-11-26,0.5544632545
2019-11-27,0.5574471873
2019-11-28,0.5568357157
2019-11-29,0.5740228321
2019-11-30,0.5646463117
2019-12-01,0.5822744456
2019-12-01,0.5419287289
2019-12-02,0.560757471
2019-12-04,0.5488920339
2019-12-05,0.5360892285
2019-12-05,0.5518565588
2019-12-06,0.5541419441
2019-12-08,0.5772446329
2019-12-09,0.5518565588
2019-12-09,0.5147569582
2019-12-10,0.5475651598
2019-12-12,0.5561733744
2019-12-13,0.5545478789
2019-12-13,0.5464828785
2019-12-14,0.5280945938
2019-12-16,0.5944709648
2019-12-17,0.6405835683
2019-12-18,0.6060567565
2019-12-19,0.639265836
2019-12-20,0.5360892285
2019-12-21,0.5460236205
2019-12-22,0.5524204885
2019-12-23,0.5622689467
2019-12-24,0.5616697023
2019-12-25,0.5415698513
2019-12-26,0.6600289439
2019-12-27,0.5950169734
2019-12-28,0.5958466133
2019-12-28,0.5432861134
2019-12-29,0.5792814132
