Dates,Suspended Matter
2022-08-01,0.5378942258
2022-08-02,0.5169431846
2022-08-03,0.5557999657
2022-08-04,0.5789561306
2022-08-05,0.5665421633
2022-08-07,0.5172716828
2022-08-07,0.5568202123
2022-08-08,0.5781659877
2022-08-09,0.5715176031
2022-08-11,0.5690288986
2022-08-11,0.5739242425
2022-08-12,0.5959171672
2022-08-14,0.5751272125
2022-08-15,0.5538246468
2022-08-16,0.5823573371
2022-08-17,0.5941149706
2022-08-18,0.6030937687
2022-08-19,0.5788705162
2022-08-20,0.5609710618
2022-08-21,0.5968795914
2022-08-22,0.586845047
2022-08-22,0.5663625198
2022-08-24,0.589140318
2022-08-25,0.5812495016
2022-08-26,0.588154395
2022-08-26,0.5566982887
2022-08-27,0.5207579261
2022-08-28,0.5539586232
2022-08-29,0.5523044943
2022-08-30,0.5858852474
2022-08-31,0.5872823452
2022-09-01,0.5665447561
2022-09-03,0.5503322636
2022-09-03,0.5488815908
2022-09-04,0.5370500748
2022-09-05,0.5356254835
2022-09-07,0.5406517418
2022-09-07,0.5832128202
2022-09-08,0.5162308812
2022-09-10,0.567623889
2022-09-11,0.5188002016
2022-09-12,0.5801042188
2022-09-13,0.581686643
2022-09-14,0.5928260755
2022-09-15,0.5707658678
2022-09-16,0.5839493548
2022-09-17,0.5775503839
2022-09-18,0.5996205063
2022-09-18,0.5788681643
2022-09-20,0.5619201227
2022-09-21,0.5546300344
2022-09-22,0.5000585786
2022-09-22,0.5458991558
2022-09-23,0.5713405857
2022-09-24,0.5890436584
2022-09-25,0.5816419527
2022-09-26,0.4767153755
2022-09-27,0.5449935467
2022-09-28,0.5708803992
2022-09-30,0.5431507602
2022-09-30,0.5660295318
2022-10-01,0.549284346
2022-10-02,0.5342345427
2022-10-04,0.5652757031
2022-10-04,0.5552694008
2022-10-05,0.5578950061
2022-10-07,0.5962759543
2022-10-08,0.5583040034
2022-10-09,0.5629895905
2022-10-10,0.5717975941
2022-10-11,0.5069749177
2022-10-12,0.5736233928
2022-10-13,0.5148990324
2022-10-14,0.5425332216
2022-10-15,0.5265657115
2022-10-15,0.5507359055
2022-10-17,0.567623889
2022-10-18,0.554575064
2022-10-19,0.5773261768
2022-10-19,0.4847283211
2022-10-20,0.5338912115
2022-10-21,0.5424125422
2022-10-22,0.5406140216
2022-10-23,0.5168740944
2022-10-24,0.5357491012
2022-10-25,0.5237232761
2022-10-27,0.5366966786
2022-10-27,0.5390048539
2022-10-28,0.5482310259
2022-10-29,0.5271409526
2022-10-31,0.5214752355
2022-10-31,0.5273532753
2022-11-01,0.5120478893
2022-11-03,0.560757471
2022-11-04,0.5191681912
2022-11-05,0.5410134866
2022-11-06,0.554016467
2022-11-07,0.5418228031
2022-11-08,0.5170520369
2022-11-09,0.5247947913
2022-11-10,0.5293961577
2022-11-11,0.4972538049
2022-11-11,0.5422048855
2022-11-13,0.5142502681
2022-11-14,0.5129440015
2022-11-15,0.4798705621
2022-11-15,0.531288401
2022-11-16,0.5096262649
2022-11-17,0.5079425894
2022-11-18,0.5266476088
2022-11-19,0.5412651415
2022-11-20,0.5296665223
2022-11-21,0.5214617053
2022-11-23,0.5244553241
2022-11-23,0.5255074106
2022-11-24,0.5296122543
2022-11-25,0.5091920181
2022-11-27,0.552788628
2022-11-27,0.5210832985
2022-11-28,0.5234496837
2022-11-30,0.5491742106
2022-12-01,0.5321473959
2022-12-02,0.5358920239
2022-12-03,0.522794665
2022-12-04,0.5293318013
2022-12-05,0.4992987913
2022-12-06,0.5187056782
2022-12-07,0.5085243324
2022-12-08,0.4773857338
2022-12-08,0.5392426946
2022-12-10,0.5560942287
2022-12-11,0.552090322
2022-12-12,0.5408367726
2022-12-12,0.4939764857
2022-12-13,0.5891089766
2022-12-14,0.5893302257
2022-12-15,0.5708874413
2022-12-16,0.5175744985
2022-12-17,0.5195761672
2022-12-18,0.5068070438
2022-12-20,0.5025836517
2022-12-20,0.5227518114
2022-12-21,0.504554568
2022-12-22,0.5076930701
2022-12-24,0.5005870729
2022-12-24,0.5161972791
2022-12-25,0.4902206314
2022-12-27,0.5308369471
2022-12-28,0.4962497066
2022-12-29,0.5321473959
2022-12-30,0.4963209977
